emotion,art_srocc_mean,art_srocc_sd,art_srocc_sem,art_plcc_mean,art_plcc_sd,art_plcc_sem,fashion_srocc_mean,fashion_srocc_sd,fashion_srocc_sem,fashion_plcc_mean,fashion_plcc_sd,fashion_plcc_sem,landscape_srocc_mean,landscape_srocc_sd,landscape_srocc_sem,landscape_plcc_mean,landscape_plcc_sd,landscape_plcc_sem,avg_srocc_mean,avg_srocc_sd,avg_srocc_sem,avg_plcc_mean,avg_plcc_sd,avg_plcc_sem
impressed,0.6944984305011533,0.06449315968299564,0.028842217826985407,0.7035516307414275,0.0647425537114041,0.028953750227126172,0.44927929549691276,0.07356590920705273,0.03289967476270951,0.47212251738211697,0.07205783903967918,0.032225245280892156,0.648498775920002,0.031618857645055495,0.0141403830130466,0.6650825839605922,0.03640957032787886,0.016282854856939286,0.5974255006393562,0.12310822982188846,0.03178640825874995,0.6135855773613789,0.11851054742065296,0.030599291767340882
intellectual,0.48718560310083453,0.11523111123923756,0.05153291957075504,0.5029084407666217,0.1176633118803961,0.05262063276446485,0.3707043279303427,0.09204962362152642,0.04116584314420069,0.38374548032619626,0.10456573779432023,0.046763219565103785,0.562830010244465,0.08742071317246942,0.039095731459030586,0.5968855620186979,0.06938220462603546,0.03102866519452313,0.4735733137585474,0.12283708603027052,0.03171639923279236,0.49451316103717197,0.12886052722679475,0.03327164506219223
motivated,0.544780566071093,0.08651724053286883,0.038691686211438966,0.5873922121124318,0.09818475902458432,0.043909559106681297,0.3460450109054335,0.1078894743017019,0.048249639719064416,0.3619881574221333,0.09809223354313101,0.0438681804534452,0.5368314980985828,0.07402289627499013,0.03310404559245878,0.5504405196405079,0.07722469272436511,0.03453593249464276,0.4758856916917031,0.12677779495094246,0.032733885900926595,0.4999402963916909,0.13283944637867334,0.034298997569600996
amused,0.6840087535815089,0.0800435219253478,0.035796551236714505,0.6964248790555639,0.07392167444031524,0.03305877781183072,0.44960751213440703,0.10057774767557198,0.04497973616528008,0.46252186584423505,0.10718919835710261,0.04793646679603804,0.6870081337962664,0.051499866293427274,0.023031440372850702,0.6866242562357769,0.05123829334081766,0.022914461392228618,0.6068747998373941,0.13685767604571383,0.035336500008379956,0.6151903337118585,0.134526893814399,0.03473469462401206
nostalgic,0.6827286104447737,0.04984032239719916,0.022289269780128518,0.7171496409369285,0.057594692614513464,0.02575712956585144,0.37822861501562105,0.04954973209681832,0.02215931384707779,0.3947747894896532,0.056193944619427304,0.025130696018579597,0.6165222978483331,0.060905040649637206,0.027237562212995347,0.6731235608331849,0.042200627341825184,0.018872694285891473,0.5591598411029093,0.14419075523321367,0.03722989291302043,0.5950159970865889,0.15551596206120882,0.04015404874216575
sad,0.5564418657795099,0.08149868445045408,0.03644731970160408,0.5726633438601857,0.0812159963721946,0.03632089774972068,0.31746886792119866,0.06397572181576064,0.02861081257793141,0.37538621521488935,0.05156566288963209,0.023060865505211116,0.46007571680908416,0.08172623727891222,0.03654908442018503,0.5121585871318199,0.06341183743658291,0.028358635817273076,0.4446621501699309,0.1236956215799214,0.03193807215852069,0.4867360487356317,0.10530480310147336,0.02718958324584383
distasteful,0.6822253175474527,0.050537132344669125,0.0226008926621167,0.6862855274075729,0.03932733343968534,0.01758771818898741,0.5618847715568978,0.06835439397444604,0.03056901429753267,0.6006530002797442,0.0630221281599827,0.028184352530485013,0.5685069017384908,0.04875819409476533,0.02180532729120482,0.5829763643404244,0.053758139704466704,0.0240413709446236,0.6042056636142804,0.07754140606785578,0.020021104956154147,0.6233049640092472,0.06769878422689987,0.01747975092461817
