fold,domain,emotion,srocc,plcc
0,art,impressed,0.6823875391052264,0.698104586434079
0,art,intellectual,0.44618080073315564,0.45789278068769423
0,art,motivated,0.5709231975372558,0.6177673987061447
0,art,amused,0.6121715541022915,0.6369610227603869
0,art,nostalgic,0.6183304889645889,0.6408761872133462
0,art,sad,0.5269664315373707,0.5822020848051596
0,art,distasteful,0.6635840864340615,0.6698512975044859
0,fashion,impressed,0.4527751642339961,0.47818088673846315
0,fashion,intellectual,0.41865875915862194,0.42860200439625107
0,fashion,motivated,0.38763573428829906,0.4130616278320084
0,fashion,amused,0.41759211348925723,0.44355099209116927
0,fashion,nostalgic,0.3229199752043813,0.34433218482238703
0,fashion,sad,0.3470487172811028,0.36234421978362275
0,fashion,distasteful,0.5259584875203571,0.5722503794683002
0,landscape,impressed,0.6498877148528971,0.6793392345695953
0,landscape,intellectual,0.6376754035875001,0.6545047069533804
0,landscape,motivated,0.5661240545208518,0.5868327971263523
0,landscape,amused,0.6452242688775948,0.6410526149723244
0,landscape,nostalgic,0.569625880146077,0.6443961023489467
0,landscape,sad,0.3484108363906049,0.4257737338736388
0,landscape,distasteful,0.4813080347585119,0.48933660381263594
1,art,impressed,0.6370593148415998,0.6382988058561667
1,art,intellectual,0.4056897194179087,0.38275574453626904
1,art,motivated,0.47930821737807267,0.5051998589066369
1,art,amused,0.5955475551809312,0.6096096439370537
1,art,nostalgic,0.6418637509502915,0.6737923652486913
1,art,sad,0.4431839527116963,0.4450470046840532
1,art,distasteful,0.6508321017601745,0.6447693330079362
1,fashion,impressed,0.3746502355211506,0.38549994569457857
1,fashion,intellectual,0.216197942001736,0.20081953826500665
1,fashion,motivated,0.22087153597437442,0.23632466754557013
1,fashion,amused,0.28646499482850796,0.28375261530924023
1,fashion,nostalgic,0.36585505872943963,0.3552727324480723
1,fashion,sad,0.23541053144656376,0.3071418302206521
1,fashion,distasteful,0.47550826282765,0.5191070333421823
1,landscape,impressed,0.6000691987846504,0.6084879094006075
1,landscape,intellectual,0.42285274634889075,0.4831287080725567
1,landscape,motivated,0.4337326075064611,0.44375634166346645
1,landscape,amused,0.6524219349784914,0.652134749841838
1,landscape,nostalgic,0.5502565334403625,0.6167788165531121
1,landscape,sad,0.40530450796666234,0.4645064528856136
1,landscape,distasteful,0.5915933873474024,0.6080369217499464
2,art,impressed,0.676460625523819,0.6860595133153913
2,art,intellectual,0.3981187148286798,0.44320407468013745
2,art,motivated,0.5573555073440168,0.6162067107928069
2,art,amused,0.7210173914140914,0.7309604442736773
2,art,nostalgic,0.726119675615364,0.7623544565483801
2,art,sad,0.5902301091072928,0.6119704034952447
2,art,distasteful,0.7594932252234262,0.7454979763490783
2,fashion,impressed,0.3783116465622554,0.41316701477663986
2,fashion,intellectual,0.37294538373695785,0.3951713110563323
2,fashion,motivated,0.26082547155406244,0.29264552128078225
2,fashion,amused,0.5114264257957917,0.5092191035463414
2,fashion,nostalgic,0.43191286111936733,0.47351464306313495
2,fashion,sad,0.38864982917781615,0.4278056192203407
2,fashion,distasteful,0.659634402850211,0.6897120057983992
2,landscape,impressed,0.653596523925296,0.6581156444831372
2,landscape,intellectual,0.6093802288119843,0.6319090192298883
2,landscape,motivated,0.5194342340073439,0.5431915366345307
2,landscape,amused,0.706116836497633,0.701635819036974
2,landscape,nostalgic,0.6078827372625872,0.6823522781157103
2,landscape,sad,0.4792371267574865,0.5416470658698433
2,landscape,distasteful,0.5910108579260813,0.6246735844109378
3,art,impressed,0.8054874630844547,0.8120056234493702
3,art,intellectual,0.6780473935190847,0.6862921691399613
3,art,motivated,0.6687355915887104,0.7209343507965518
3,art,amused,0.7885026301913738,0.7932161208023949
3,art,nostalgic,0.7263595404947685,0.7738307473952585
3,art,sad,0.6647466708553361,0.6638163195535666
3,art,distasteful,0.7042583924753851,0.7041743402658667
3,fashion,impressed,0.5419320616882486,0.5450862411790627
3,fashion,intellectual,0.4565886813260073,0.4545545079660001
3,fashion,motivated,0.4923044256845196,0.4835620813986754
3,fashion,amused,0.5087989201207066,0.5329369803758177
3,fashion,nostalgic,0.4278220948739357,0.4340181683349944
3,fashion,sad,0.35007840622036307,0.4261806409046699
3,fashion,distasteful,0.5805360785775232,0.6229512122442233
3,landscape,impressed,0.688784276631967,0.7075169386875586
3,landscape,intellectual,0.6110726995430978,0.6352403966623772
3,landscape,motivated,0.6370611684256529,0.652810721266254
3,landscape,amused,0.7688472447738143,0.7686166088243492
3,landscape,nostalgic,0.6968499047848831,0.7200533096112173
3,landscape,sad,0.529487811642109,0.5615684029347183
3,landscape,distasteful,0.5899272222555244,0.6020447611573134
4,art,impressed,0.6710972099506668,0.6832896246521303
4,art,intellectual,0.5078913870053438,0.5443974347890462
4,art,motivated,0.44758031650740926,0.4768527413600183
4,art,amused,0.7028046370188569,0.7113771635043067
4,art,nostalgic,0.7009695961988562,0.7348944482789663
4,art,sad,0.5570821646858537,0.5602809067629044
4,art,distasteful,0.6329587818442162,0.6671346899104977
4,fashion,impressed,0.498727369478913,0.5386784985218402
4,fashion,intellectual,0.3891308734283906,0.4395800399473913
4,fashion,motivated,0.36858788702591194,0.3843468890536303
4,fashion,amused,0.5237551064377718,0.5431496378986068
4,fashion,nostalgic,0.3426330851509813,0.3667362187796774
4,fashion,sad,0.2661568554801474,0.35345876594516124
4,fashion,distasteful,0.5677866260087476,0.5992443705456161
4,landscape,impressed,0.6501561654051995,0.6719531926620624
4,landscape,intellectual,0.5331689729308516,0.5796449791752868
4,landscape,motivated,0.5278054260326043,0.5256112015119359
4,landscape,amused,0.6624303838537986,0.6696814885033991
4,landscape,nostalgic,0.6579964336077562,0.7020372975369382
4,landscape,sad,0.5379383012885581,0.5672972800952854
4,landscape,distasteful,0.5886950064049338,0.5907899505712887
