fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed,stage2_variant
0,art,3,population,mlp,,0.012873510898554505,0.0082302861941744,0.015744197396967252,2,C
0,art,3,identity,mlp,,0.22003528413249332,0.20085817497687522,0.26298460996557405,2,C
0,art,3,random,mlp,,0.00343793354089638,-0.06437259559014977,0.004090083505444597,2,C
0,art,3,shuffled,mlp,,0.08467140807790476,0.04962666615892064,0.1012220057674714,2,C
0,art,3,pca,mlp,,0.09390938115080426,0.10086999567741123,0.10485971696279377,2,C
0,art,3,emotion,mlp,,0.09591655872958246,0.14099264087401145,0.13542081993371413,2,C
0,art,14,population,mlp,,0.3076959185690089,0.5435990486620579,0.5211985061553568,2,C
0,art,14,identity,mlp,,0.5686485364773642,0.6017637495011725,0.5918980409240153,2,C
0,art,14,random,mlp,,0.5351968582970992,0.6281390322898742,0.5922300095480622,2,C
0,art,14,shuffled,mlp,,0.24902815178979912,0.33572605719178084,0.2830398786537777,2,C
0,art,14,pca,mlp,,0.4282122672904504,0.5151872562795016,0.46839682887362377,2,C
0,art,14,emotion,mlp,,0.4563772715479521,0.5875578533098943,0.5280084878775256,2,C
0,art,15,population,mlp,,0.21466197391479944,0.32828774813010836,0.2825141461147308,2,C
0,art,15,identity,mlp,,-0.006656713497703019,-0.05995420052392306,-0.006758682580953232,2,C
0,art,15,random,mlp,,0.30256961665089316,0.31437455013429977,0.304942063583512,2,C
0,art,15,shuffled,mlp,,0.22914847152966905,0.29531028265149345,0.23837158727872412,2,C
0,art,15,pca,mlp,,0.1625112162650255,0.20301586235868718,0.17639098111979049,2,C
0,art,15,emotion,mlp,,0.09185167107882919,0.24873824203193587,0.11166478358004166,2,C
0,art,19,population,mlp,,0.43579815460636967,0.469784602089303,0.4700835065565667,2,C
0,art,19,identity,mlp,,0.43995097933326177,0.4947253858060848,0.48763093236657207,2,C
0,art,19,random,mlp,,0.46987075444095094,0.5160746966676502,0.5367906548651298,2,C
0,art,19,shuffled,mlp,,0.4823100112913706,0.5399180859008936,0.5762810096850782,2,C
0,art,19,pca,mlp,,0.5054611009433309,0.5710441839794372,0.5772254392798811,2,C
