backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,population,0,art,3,0,0.02224136864378082,-0.02300235238161384,-0.017344674778501417,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,3,0,-0.06466653438279885,-0.10291261687142277,-0.07207799871131058,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,3,0,0.014451990638580046,-0.022848660274930373,-0.014464715917066922,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,3,0,0.18013549009511468,0.10403499050205696,0.07964271285497942,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,3,0,0.15902088682315538,0.15768535190197613,0.10058636048685143,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,3,0,-0.005437867664008085,0.04571707206483483,0.014885225731168232,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,3,0,0.13996385509973963,0.042400695470016896,0.022047341950871848,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,3,0,0.19880060342833164,0.21216169384609943,0.12449267548719219,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,14,0,0.6366824383909226,0.6377510648233984,0.3037374917370172,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,14,0,0.47644390303056094,0.4502874756708695,0.433887165065936,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,14,0,0.675028423914233,0.6534487337887869,0.5148901269249092,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,14,0,0.6702600112066711,0.6435163008343027,0.5056539897565734,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,14,0,0.6011676979127273,0.5997802025587797,0.4439387355902008,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,14,0,0.5855710146817434,0.5697083464564204,0.4593221327578308,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,14,0,0.6538685925244271,0.6338343783140636,0.4993422354484645,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,14,0,0.6969829907552995,0.6387229739221565,0.5440136338363495,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,15,0,0.2528803391451918,0.24636686540826827,0.18009450633368043,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,15,0,0.20402483473242905,0.1770298946453264,0.17200369240147137,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,15,0,0.31830423201097857,0.2887717212145889,0.27213115795026277,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,15,0,0.2337629678532412,0.24978965658235697,0.2491495967902613,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,15,0,0.29440751789604025,0.2798527034959244,0.25811459558890476,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,15,0,0.11311111347737478,0.041262078773563395,0.028676315104019388,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,15,0,0.1670645835679911,0.23105546906146668,0.20881349960196086,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,15,0,0.25404862294636665,0.19639179391639947,0.17330700270164198,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,19,0,0.4569151576914436,0.4702964739669121,0.4220131499409096,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,19,0,0.39840407909187336,0.38183783845916164,0.3767946110231735,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,19,0,0.5623647912459973,0.5852257517284776,0.48210692443467024,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,19,0,0.6275101183142315,0.6667419506024865,0.5631890805652636,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,19,0,0.5797734582803109,0.5834844682435856,0.4786849553113082,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,19,0,0.5106376058173917,0.5022053384785111,0.43656507510239967,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,19,0,0.5636617119992698,0.5544959146583639,0.4543338396081786,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,19,0,0.5583742658513121,0.5508054612456015,0.4953652857441908,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,21,0,0.3810854419230437,0.4219492346316793,0.2620717762163609,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,21,0,0.44048387229273017,0.4564496856569184,0.44798798581451166,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,21,0,0.5348373484769232,0.5166912802082465,0.40075401485559287,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,21,0,0.31529954274984306,0.35699706205046783,0.2543349695230933,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,21,0,0.5279469293739197,0.5400841629477229,0.45164422085846545,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,21,0,0.570949179980255,0.5013834138973289,0.3635564436011409,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,21,0,0.48700677499549055,0.549864654992874,0.43643076610379383,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,21,0,0.2958353661596071,0.35741986204971005,0.29719764461277726,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,22,0,0.2816100924749106,0.29524439281475073,0.21026510368596263,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,22,0,0.2978231216578541,0.2713597531218892,0.2673110388562556,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,22,0,0.4452010175640702,0.4778220027476459,0.4388329858425419,,2026-08-22,efficiency
