mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
emotion,mlp,0,art,3,0.029752099506530395,0.003461945780089265,0.02056029262967707,
emotion,mlp,0,art,14,0.4821673211807605,0.47791747501310616,0.5087688411021024,
emotion,mlp,0,art,15,0.2358022044913769,0.28638884271524984,0.2539937815678766,
emotion,mlp,0,art,19,0.4106526937765618,0.47049957122251734,0.4523689997869695,
emotion,mlp,0,art,21,0.25051395808855076,0.28653078561905504,0.27247687597555265,
emotion,mlp,0,art,22,0.13665862357304623,0.15091587424643807,0.14002181119269846,
emotion,mlp,0,art,30,0.0029160114500349035,-0.017720633832261568,0.0015946697848975334,
emotion,mlp,0,art,50,0.3999977086388868,0.3750178157478499,0.41796089892348925,
emotion,mlp,0,art,57,0.2645592750584557,0.3200925920397571,0.26991741799542157,
emotion,mlp,0,art,62,0.44876134000371093,0.4807893867258802,0.4671967137258193,
emotion,mlp,0,art,63,-0.03368291395353629,-0.0291308668514793,-0.03485442043510433,
emotion,mlp,0,art,79,0.23788194838231394,0.2524083833890079,0.2522765144126553,
emotion,mlp,0,art,80,0.5559386690669406,0.586484020062203,0.5717727968980925,
emotion,mlp,0,art,85,0.131646879647929,0.10665090529900606,0.13835197119472806,
emotion,mlp,0,art,86,0.28879518277256644,0.2753729491067035,0.30470782898326787,
emotion,mlp,0,art,98,0.2906862707009961,0.2558481175676152,0.2976385863592827,
emotion,mlp,0,art,99,0.5075979902966651,0.5215289990370281,0.5333017963514406,
emotion,mlp,0,art,105,-0.035445127674151325,-0.05142794924164484,-0.044954165832164765,
emotion,mlp,0,art,109,0.18297225522638014,0.2036216421887865,0.197262800580021,
emotion,mlp,0,art,110,0.26778575784302416,0.26961636979033227,0.27206815775469306,
emotion,mlp,0,art,116,0.4442101929567359,0.44312773328753324,0.4548081441549184,
emotion,mlp,0,art,117,0.634576475949452,0.6351881475922936,0.6571280867450964,
emotion,mlp,0,art,126,0.284366088617439,0.2955010662519635,0.30124752779781994,
emotion,mlp,0,art,127,0.3525447466916498,0.3143966160851764,0.3629162423661205,
emotion,mlp,0,art,136,0.23343133546653974,0.17241570837718276,0.23674793582392165,
emotion,mlp,0,art,144,0.311068417317292,0.3518092316609723,0.32099901312255325,
emotion,mlp,0,fashion,3,0.2685874383629513,0.2783587032233641,0.280578964241569,
emotion,mlp,0,fashion,14,0.1990930665644203,0.21656518593253618,0.23247140190178608,
emotion,mlp,0,fashion,15,-0.006085276565796031,-0.044065397324220934,-0.00998345433236733,
emotion,mlp,0,fashion,19,0.2711489769611934,0.21210076872609493,0.275921155204995,
emotion,mlp,0,fashion,21,0.004646447184084838,-0.04265720561193926,0.0052405883256938695,
emotion,mlp,0,fashion,22,0.18078304651160412,0.2058544493603988,0.2069762475871094,
emotion,mlp,0,fashion,30,0.309716456018769,0.32092538754788585,0.3306955327056082,
emotion,mlp,0,fashion,50,0.07369666943102533,0.05744157758998023,0.08483181400095396,
emotion,mlp,0,fashion,57,0.04801777518328809,0.05858708143679933,0.0557015780621354,
emotion,mlp,0,fashion,62,0.06444762877953146,0.06756620695287573,0.06905865371786114,
emotion,mlp,0,fashion,63,-0.08436499652116809,-0.06133088262628253,-0.09502713298823096,
emotion,mlp,0,fashion,79,0.11979834432581016,0.11282376881869,0.12599497749992744,
emotion,mlp,0,fashion,80,0.14549972209779113,0.1206444148606029,0.15413984223637217,
emotion,mlp,0,fashion,85,0.18241888778782636,0.1953734632212398,0.20695733356093005,
emotion,mlp,0,fashion,86,-0.019281302085349738,-0.007354918867780863,-0.01905052980864333,
emotion,mlp,0,fashion,98,0.14226635949792252,0.1826146852254991,0.15693707041849478,
emotion,mlp,0,fashion,99,0.39289810976234124,0.4071807231257279,0.4070654483672626,
emotion,mlp,0,fashion,105,0.01709658419108127,-1.7544332283264685e-05,0.01804385766511653,
emotion,mlp,0,fashion,109,0.22631341370403016,0.2531343983104966,0.25287316702497814,
emotion,mlp,0,fashion,110,0.08074809978708,0.0508331770461757,0.08619180342540995,
emotion,mlp,0,fashion,116,0.028026070835317735,0.01321889131335203,0.029843559185502095,
emotion,mlp,0,fashion,117,0.3127000641621623,0.27040214680837266,0.33912555282503004,
emotion,mlp,0,fashion,126,0.027374369814514205,0.02214074084597047,0.03609004554405743,
emotion,mlp,0,fashion,127,0.23941521413900202,0.27293177901599436,0.25866713689227483,
emotion,mlp,0,fashion,136,0.3582989572617263,0.3803410294612734,0.39929394751450675,
emotion,mlp,0,fashion,144,0.15219270103532656,0.12697946960328485,0.16470594480125056,
emotion,mlp,0,landscape,3,0.27055549782124916,0.2726007947007704,0.30037065016238446,
