backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,emotion_joint,0,art,21,2,0.5465057954250749,0.5135436589901127,0.385181561323141,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,22,2,0.2376450313571989,0.27996270182001814,0.20695306001894442,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,22,2,0.21534603025873608,0.17339044860914707,0.17336837335590893,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,22,2,0.19338784358754235,0.23461702364024464,0.20240139715699848,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,22,2,0.36145804400652426,0.386557474851376,0.3125296778501779,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,22,2,0.32625678244716044,0.3756851075413515,0.3274979882055391,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,22,2,0.41910436999032336,0.443814515214429,0.3847351631434839,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,22,2,0.3114556987486174,0.30752843762546217,0.2583567672231058,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,22,2,0.3510875478624793,0.3437386040404723,0.27574450283800217,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,30,2,-0.20359771949977892,-0.18273406533135783,-0.1746516503735889,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,30,2,0.14054523167801108,0.17538052214947397,0.17456090021088533,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,30,2,0.1055325560875706,0.08837050349454183,0.08071436180484035,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,30,2,0.06478334042863988,0.056162420158880524,0.04426378351743682,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,30,2,0.21329049409826245,0.2594811912605093,0.21178876257970314,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,30,2,0.35616001356264454,0.34779908915185603,0.20173541214465043,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,30,2,0.10073562171995376,0.066955921240694,0.04075121790695637,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,30,2,0.28979417932200746,0.19920428799801085,0.15210042461872086,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,50,2,0.378138727020145,0.4007610123626785,0.3892221357601199,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,50,2,0.3069188304579978,0.3642849505748056,0.32845914058785686,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,50,2,0.3949180084110792,0.43917938961934455,0.4173373461433034,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,50,2,0.5203155220035156,0.5381736628674921,0.501753798977941,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,50,2,0.498434076678661,0.5562072840628596,0.5229220531606059,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,50,2,0.42647778532192726,0.5611485902491199,0.4568572508519814,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,50,2,0.37692893557189583,0.49239309968207196,0.41007326548813705,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,50,2,0.440048489393592,0.45379136336027187,0.39526784177599544,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,57,2,0.5689098006702177,0.5309523782253983,0.4639556385234758,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,57,2,0.24513777406652543,0.20473838123457783,0.18751962490147892,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,57,2,0.48524820189717915,0.4615624303588705,0.45645128424788783,,2026-08-22,efficiency
