fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed,stage2_variant
0,art,3,population,mlp,,-0.009600641655021678,0.023270154418052615,-0.011978231214501723,1,plain
0,art,3,identity,mlp,,0.20173828429725543,0.18395669439955278,0.21720926449658537,1,plain
0,art,3,random,mlp,,0.02729379768408724,0.021947429851131732,0.036394410758423805,1,plain
0,art,3,shuffled,mlp,,0.06816184796684199,0.036007502099513,0.08213273685313066,1,plain
0,art,3,pca,mlp,,0.06750907496750848,0.10135989366515971,0.0970690795287332,1,plain
0,art,3,emotion,mlp,,0.06391354607025564,0.05070444173196728,0.07900201566342155,1,plain
0,art,14,population,mlp,,0.32857908859995927,0.5844285824705567,0.5928412691796608,1,plain
0,art,14,identity,mlp,,0.19957952126955852,0.32544416729110043,0.28215801614810954,1,plain
0,art,14,random,mlp,,0.29577996706818427,0.32658659950228713,0.3346008135794758,1,plain
0,art,14,shuffled,mlp,,0.24076761719109382,0.25575580240871126,0.2824449162193836,1,plain
0,art,14,pca,mlp,,0.4300709350992762,0.5047563534817099,0.45630154283075686,1,plain
0,art,14,emotion,mlp,,0.3846892855465315,0.44604527201985383,0.4261873179544524,1,plain
0,art,15,population,mlp,,0.21881397784371223,0.3345008937999923,0.2956432129661042,1,plain
0,art,15,identity,mlp,,-0.08309083627607053,-0.10519864591487295,-0.09396933346258422,1,plain
0,art,15,random,mlp,,-0.005741370898926937,-0.06234387193541689,-0.005829372694043365,1,plain
0,art,15,shuffled,mlp,,-0.17666007339767084,-0.12208565722276271,-0.2014287629475365,1,plain
0,art,15,pca,mlp,,0.007932518234890093,0.04625341776469174,0.008626697238719656,1,plain
0,art,15,emotion,mlp,,0.034199780196050016,0.038606469247911473,0.0422324913006688,1,plain
0,art,19,population,mlp,,0.434362581140369,0.5002123582237769,0.49623566628728044,1,plain
0,art,19,identity,mlp,,0.1715828382073483,0.254495757046042,0.2751039843397545,1,plain
0,art,19,random,mlp,,0.40362530640279826,0.48001032341318356,0.4146016763353822,1,plain
0,art,19,shuffled,mlp,,0.25625932738922697,0.25200167867436385,0.28053638489282406,1,plain
0,art,19,pca,mlp,,0.33120900136331843,0.3926676988370135,0.39523230793982883,1,plain
0,art,19,emotion,mlp,,0.5132361581958798,0.5682009346357242,0.577451911835984,1,plain
0,art,21,population,mlp,,0.23961608913508486,0.4054785314482748,0.3745769926507511,1,plain
0,art,21,identity,mlp,,0.1937528664533513,0.23030094213615113,0.29057987000686447,1,plain
0,art,21,random,mlp,,0.5749286329490407,0.6182768031621982,0.5919620840939994,1,plain
0,art,21,shuffled,mlp,,0.16875765021025918,0.12754819595048686,0.23386463246887573,1,plain
0,art,21,pca,mlp,,0.38826717685144063,0.4357561394775308,0.42410125278995214,1,plain
0,art,21,emotion,mlp,,0.2949400327677158,0.35930769395515694,0.3464171661625778,1,plain
0,art,22,population,mlp,,0.32837082701649817,0.4396019234017925,0.43834829459211044,1,plain
0,art,22,identity,mlp,,0.3433238281131937,0.3551286332143841,0.358843713126686,1,plain
0,art,22,random,mlp,,0.19071797238231014,0.16675563048522973,0.1982866650809985,1,plain
0,art,22,shuffled,mlp,,0.04560623480259248,-0.013437825989466686,0.049123225094996836,1,plain
