fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed
0,art,3,population,ridge,,0.06964822288304581,0.10003716909823884,0.0959782035284279,0
0,art,3,identity,ridge,25.93579358411934,0.10338565101934445,0.2219237884500597,0.23967708911671395,0
0,art,3,random,ridge,0.6249768024145771,-0.0008627390262738039,0.020967633875634783,-0.021148546200938916,0
0,art,3,shuffled,ridge,0.5694496563139373,-0.0035351901998533983,-0.10905129207281078,-0.11557058452233189,0
0,art,3,pca,ridge,3.4348261596734933,0.0707288970815559,0.24504697347178778,0.25768851843018337,0
0,art,3,emotion,ridge,0.5420121490416602,0.001977682815050429,0.09357051565995896,0.06739468063433149,0
0,art,3,population,mlp,,0.07036770527781747,0.1119416902005268,0.09096969058335053,0
0,art,3,identity,mlp,,0.005302705179980737,0.012247449693711906,0.005458908334334652,0
0,art,3,random,mlp,,0.1460460620446869,0.1917460724047536,0.21867053134704983,0
0,art,3,shuffled,mlp,,-0.09780562266016767,-0.05668119718249869,-0.12050686955087195,0
0,art,3,pca,mlp,,0.09540333582728618,0.1628910809263683,0.1586920010493439,0
0,art,3,emotion,mlp,,0.06730186536457618,0.05575039100577659,0.08193281771457267,0
0,art,3,gt_emotion,ridge,6.724840859253103,0.7842236900183684,0.8127491571512181,0.8343545768710184,0
0,art,14,population,ridge,,0.3209064608976412,0.6387189479847772,0.6318511710460395,0
0,art,14,identity,ridge,26.146016696019746,0.4500130647058814,0.6469643282916031,0.605431884529653,0
0,art,14,random,ridge,3.249737724992005,0.14594708196200162,0.30314190369010774,0.2902760329662695,0
0,art,14,shuffled,ridge,4.250665338199431,0.07368384997199687,0.1541786775445018,0.14582385094161224,0
0,art,14,pca,ridge,6.319027853250093,0.45195938534254504,0.5916805434633072,0.5416572422291789,0
0,art,14,emotion,ridge,4.70969594438573,0.44796991279819764,0.5825410857738136,0.563647466368723,0
0,art,14,population,mlp,,0.35760935046707226,0.66102121158577,0.6377114733729426,0
0,art,14,identity,mlp,,0.15695655281906798,0.12656162061320572,0.17766933709762078,0
0,art,14,random,mlp,,0.03818082920033049,0.07152619061342867,0.0383084451533067,0
0,art,14,shuffled,mlp,,0.2336351277912813,0.2311190034196414,0.24654679845110805,0
0,art,14,pca,mlp,,0.49214040235085776,0.5475727259183595,0.5224827432779524,0
0,art,14,emotion,mlp,,0.09918806047854743,0.13028694304098848,0.15639107864987997,0
0,art,14,gt_emotion,ridge,4.82953546828118,0.5782243342623435,0.7623983691861446,0.709221530582663,0
0,art,15,population,ridge,,0.16769024056229012,0.22654084980961536,0.2301194673630514,0
0,art,15,identity,ridge,26.20570194211716,0.0661036126303899,0.13036985144927465,0.11411940305242882,0
