fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed,stage2_variant
0,art,3,population,lasso,,0.06244597436658254,0.09650990358644981,0.08555433108989885,2,plain
0,art,3,identity,lasso,35.0,0.11805542319585827,0.18126225546693617,0.19203999855807813,2,plain
0,art,3,random,lasso,3.0,0.017150113686618035,0.0403186043916996,0.07016895442709448,2,plain
0,art,3,shuffled,lasso,7.0,0.04145388853466025,0.07564024930836472,0.12121983990131685,2,plain
0,art,3,pca,lasso,7.0,0.13056962675899542,0.2460757592460596,0.25344818952002834,2,plain
0,art,3,emotion,lasso,5.0,0.004572435084885641,0.007887357602750467,0.017086766615520714,2,plain
0,art,3,population,elastic,,0.06288175673616421,0.09709778117174798,0.08629512379352715,2,plain
0,art,3,identity,elastic,42.0,0.11044231858170932,0.19542030731286716,0.20537891220147467,2,plain
0,art,3,random,elastic,3.0,0.0168749994785005,0.0403186043916996,0.07010910344125315,2,plain
0,art,3,shuffled,elastic,7.0,0.04135236750164937,0.07701196367406045,0.12124425806256592,2,plain
0,art,3,pca,elastic,7.0,0.12374944571465127,0.2514646371112928,0.2488310493083034,2,plain
0,art,3,emotion,elastic,5.0,0.019290209680464306,0.13237043628963827,0.11233616446828751,2,plain
0,art,14,population,lasso,,0.31370112526113064,0.6348446126598832,0.6277535882340936,2,plain
0,art,14,identity,lasso,37.0,0.4574092611421935,0.5847762792304831,0.5139173623351251,2,plain
0,art,14,random,lasso,7.0,0.21797498996178585,0.3828638036446585,0.37984493525103735,2,plain
0,art,14,shuffled,lasso,7.0,0.2669782921916345,0.3871355066951827,0.3639421625660926,2,plain
0,art,14,pca,lasso,7.0,0.46431868312848235,0.5932700143658278,0.53417230281039,2,plain
0,art,14,emotion,lasso,5.0,0.42670944238171626,0.5315786749617456,0.5249331201411305,2,plain
0,art,14,population,elastic,,0.3142619329695804,0.6352916513512172,0.6289804010525841,2,plain
0,art,14,identity,elastic,46.0,0.4647256083127189,0.6141814909271149,0.5416448917859584,2,plain
0,art,14,random,elastic,7.0,0.21568691424957803,0.3864401131753299,0.37987177788750454,2,plain
0,art,14,shuffled,elastic,7.0,0.2667308498901387,0.3871355066951827,0.36390950727201815,2,plain
0,art,14,pca,elastic,7.0,0.4577531548557079,0.5907864660806393,0.5361741909049759,2,plain
0,art,14,emotion,elastic,5.0,0.4380594599398346,0.5599407963785983,0.5557677531310572,2,plain
0,art,15,population,lasso,,0.170330874319862,0.24841961917707003,0.23491191478839452,2,plain
0,art,15,identity,lasso,14.0,0.09808162752461476,0.04710307871100067,0.17712137392133764,2,plain
0,art,15,random,lasso,5.0,0.12365654229808554,0.23291330690693227,0.26114747721027803,2,plain
0,art,15,shuffled,lasso,7.0,0.2643619931440613,0.21984976985743263,0.3579936429603386,2,plain
0,art,15,pca,lasso,7.0,0.11289392955636761,0.26158936384485826,0.22775801907276122,2,plain
0,art,15,emotion,lasso,4.0,0.11994626537521207,0.2469858163301737,0.20654328828196594,2,plain
0,art,15,population,elastic,,0.17086973810711978,0.24841961917707003,0.2356393203950758,2,plain
0,art,15,identity,elastic,15.0,0.09254210450727883,0.050714137732813566,0.18299455731728448,2,plain
0,art,15,random,elastic,5.0,0.12155298595742893,0.23291330690693227,0.26084638875579624,2,plain
0,art,15,shuffled,elastic,7.0,0.2640491924469908,0.22223944126892647,0.35851322833119764,2,plain
0,art,15,pca,elastic,7.0,0.1072092274894746,0.27406875899377053,0.23861141551933507,2,plain
0,art,15,emotion,elastic,4.0,0.115211525016102,0.2629700628826102,0.2161460555478613,2,plain
0,art,19,population,lasso,,0.5100816440178864,0.5784765375270383,0.5871520125362644,2,plain
0,art,19,identity,lasso,32.0,0.2667260885699878,0.35879811454962374,0.3473639321851929,2,plain
0,art,19,random,lasso,7.0,0.0754977511926452,0.1881532723594023,0.17305601183415026,2,plain
0,art,19,shuffled,lasso,7.0,0.1235656781526724,0.24586624588003553,0.19155161104952523,2,plain
0,art,19,pca,lasso,6.0,0.25542610004491406,0.31570044028702465,0.34069790648467446,2,plain
0,art,19,emotion,lasso,7.0,0.5352613163912975,0.6527003098681812,0.6547100940016466,2,plain
0,art,19,population,elastic,,0.5100261412612748,0.5827663523263248,0.5875304377554786,2,plain
0,art,19,identity,elastic,38.0,0.2807533526522029,0.37121862484058116,0.38183763751660743,2,plain
0,art,19,random,elastic,6.0,0.07344815548118636,0.18760457511763312,0.17068987976756084,2,plain
0,art,19,shuffled,elastic,7.0,0.12348520662822722,0.24307287810375597,0.1917580602806905,2,plain
0,art,19,pca,elastic,6.0,0.24941506506675493,0.31804487395640224,0.3419510591901137,2,plain
0,art,19,emotion,elastic,6.0,0.5167870060899297,0.6532490071099503,0.653996934388053,2,plain
0,art,21,population,lasso,,0.2594251237736896,0.4606521793022512,0.4698586977453104,2,plain
0,art,21,identity,lasso,32.0,0.3532389658088626,0.4189575994745881,0.4167708371757462,2,plain
0,art,21,random,lasso,6.0,0.13143446934462968,0.17115398691620928,0.1917460073298643,2,plain
0,art,21,shuffled,lasso,7.0,0.2685291545368762,0.3797777711443715,0.33455874577882183,2,plain
0,art,21,pca,lasso,7.0,0.4256958092007632,0.531366991410447,0.5093762491097351,2,plain
0,art,21,emotion,lasso,7.0,0.4382760591433921,0.5210062152409674,0.5059778540278526,2,plain
0,art,21,population,elastic,,0.2585842100099359,0.459344508523579,0.46956572698926696,2,plain
0,art,21,identity,elastic,34.0,0.37505229072836455,0.45114641864190336,0.4582072539280667,2,plain
0,art,21,random,elastic,6.0,0.12986249076546078,0.17095280679641353,0.1917777738119054,2,plain
0,art,21,shuffled,elastic,7.0,0.268402752327125,0.3833990133006945,0.33502367330324695,2,plain
0,art,21,pca,elastic,7.0,0.41318010558965595,0.5288522399130005,0.5080879215782788,2,plain
0,art,21,emotion,elastic,5.0,0.41443863032138845,0.5468075656047685,0.5137477148956711,2,plain
0,art,22,population,lasso,,0.29209273306723527,0.40605604620344987,0.4261343742780548,2,plain
0,art,22,identity,lasso,40.0,0.3165300836300831,0.35483650656243915,0.35922564879148255,2,plain
0,art,22,random,lasso,6.0,0.18992729117703433,0.3108714454447275,0.2665959545770605,2,plain
0,art,22,shuffled,lasso,7.0,0.19204731292159433,0.20809155173543706,0.2578420034218795,2,plain
0,art,22,pca,lasso,7.0,0.47518089610846076,0.5042592890322699,0.5120794341250419,2,plain
0,art,22,emotion,lasso,6.0,0.2990330974958319,0.35663795424943284,0.3275504500275303,2,plain
0,art,22,population,elastic,,0.2910147087599381,0.4051796662476151,0.42582430357074136,2,plain
0,art,22,identity,elastic,54.0,0.3416544507447745,0.3890153248399958,0.39687204952180855,2,plain
0,art,22,random,elastic,6.0,0.1890131818352933,0.3133545219862594,0.2682949773070274,2,plain
0,art,22,shuffled,elastic,7.0,0.19171707024777299,0.20882186836529937,0.2577037786702574,2,plain
0,art,22,pca,elastic,7.0,0.4668179877871639,0.5019222758167105,0.5094834291964762,2,plain
0,art,22,emotion,elastic,5.0,0.2924440168828252,0.35605370094554306,0.3250904163653764,2,plain
0,art,30,population,lasso,,-0.2006022222447219,-0.24192374150908877,-0.2277854896623564,2,plain
0,art,30,identity,lasso,33.0,0.20609790666154426,0.28005195179189896,0.26997080049267347,2,plain
0,art,30,random,lasso,7.0,0.15254035815769146,0.350027850041155,0.31844236047055213,2,plain
0,art,30,shuffled,lasso,7.0,0.18121323006762527,0.3060641938266047,0.27288348160075115,2,plain
0,art,30,pca,lasso,7.0,0.29554607486452733,0.39384314746083054,0.3845309624333821,2,plain
0,art,30,emotion,lasso,7.0,0.18502130319817048,0.326488254587695,0.2877996442656988,2,plain
0,art,30,population,elastic,,-0.20242601435500351,-0.25028128695369956,-0.23004144630126916,2,plain
0,art,30,identity,elastic,40.0,0.17540489260305883,0.27105151823616425,0.24616136311924264,2,plain
0,art,30,random,elastic,6.0,0.15166518361615153,0.3537862728446487,0.3211463307212739,2,plain
0,art,30,shuffled,elastic,7.0,0.1814263136519718,0.3060641938266047,0.273355108677566,2,plain
0,art,30,pca,elastic,7.0,0.28823902710494476,0.3945849414352043,0.3852116613826303,2,plain
0,art,30,emotion,elastic,6.0,0.1844379646589435,0.33667555850242775,0.3225796166319738,2,plain
