emotion,art_srocc_mean,art_srocc_sd,art_plcc_mean,art_plcc_sd,fashion_srocc_mean,fashion_srocc_sd,fashion_plcc_mean,fashion_plcc_sd,landscape_srocc_mean,landscape_srocc_sd,landscape_plcc_mean,landscape_plcc_sd,avg_srocc_mean,avg_srocc_sd,avg_plcc_mean,avg_plcc_sd
impressed,0.6670842229034928,0.07236248395503138,0.6808506777413618,0.07153969398923261,0.39974030529733473,0.0682881217397968,0.41829877851340524,0.060174717820981466,0.6267095921530527,0.023731363078468366,0.6442657662940218,0.0321053148755712,0.5645113734512933,0.13350967347747658,0.5811384075162628,0.13128497576540077
intellectual,0.43266559832286006,0.09725134273135606,0.4511441253441813,0.10442114448254458,0.31118931522215415,0.07994955121384283,0.31341433280230946,0.0671927684333295,0.5398431218151962,0.07052434346151756,0.5772212531524024,0.057000406527199655,0.4278993451200702,0.12368466143433574,0.44725990376629776,0.13330125426673292
motivated,0.5240486147685821,0.0884717944507416,0.5534393892229387,0.10219687752513332,0.3154125845029725,0.06065690214647842,0.331844266510669,0.05740740988855425,0.5261814762723627,0.06926605081044163,0.5359705912212454,0.0740240874108109,0.4552142251813058,0.1230018377368534,0.47375141565161777,0.1278036165375019
amused,0.6734173524655576,0.07495114846533467,0.6814855244790585,0.06971611203531508,0.4437868809361394,0.08449488177841313,0.4594177071199426,0.08822452247432765,0.6747827341257758,0.04082513681478304,0.6735613593003121,0.0471650705862544,0.5973289891758242,0.12942551889675336,0.6048215302997711,0.12484213046755195
nostalgic,0.653581100249239,0.04907082632056975,0.6925741517601411,0.05424539466875223,0.3261337514536701,0.021785691261762257,0.3438530954894324,0.025080342501501846,0.5605360214788415,0.06675877905293402,0.6144924587166489,0.053817176668571665,0.5134169577272502,0.1497767742651938,0.5503065686554075,0.1605317394179866
sad,0.54670456944247,0.0736791668604564,0.574812512583909,0.07476799880671138,0.25620538124063363,0.02604338670458003,0.30458996949274947,0.035563649784542996,0.39877195743855653,0.06239316298912418,0.4541144648597779,0.056016688086685945,0.40056063604055336,0.13389696966076597,0.44450564897881223,0.126269160288485
distasteful,0.6852048778932696,0.04454744207962881,0.6832989037078949,0.04187030417048094,0.5227657523965114,0.05973286647699606,0.5750105435342814,0.06042198536864563,0.5286140255647698,0.045802113591127944,0.5506901593063881,0.05723331002592931,0.5788615519515169,0.0908309152104395,0.6029998688495215,0.07771586392169887
