fold,domain,emotion,srocc,plcc
0,art,impressed,0.6590956889751738,0.6757189806170725
0,art,intellectual,0.39236470180120175,0.40336126109261944
0,art,motivated,0.5906863071651032,0.6271680336212238
0,art,amused,0.6152811628261661,0.638745477013763
0,art,nostalgic,0.5978173969250962,0.6283144643872001
0,art,sad,0.5192542418539897,0.582129110449567
0,art,distasteful,0.665638254982955,0.655824669998893
0,fashion,impressed,0.41354302364625173,0.41126152997349585
0,fashion,intellectual,0.4173568182411215,0.3933172143972191
0,fashion,motivated,0.34278800075340676,0.3516833279962494
0,fashion,amused,0.4372801639876843,0.43084879961334954
0,fashion,nostalgic,0.30016927781533786,0.31534853142414715
0,fashion,sad,0.2684894885896813,0.27255727690276116
0,fashion,distasteful,0.4969839799110768,0.5279775776749542
0,landscape,impressed,0.6053912657491799,0.6381884131711396
0,landscape,intellectual,0.6163818509114202,0.6231205607844114
0,landscape,motivated,0.5067217098068422,0.5405688410617342
0,landscape,amused,0.6153975572461623,0.6051847073604816
0,landscape,nostalgic,0.4789971563594917,0.5594202077409444
0,landscape,sad,0.304341877350527,0.3696976884539102
0,landscape,distasteful,0.46967988813466405,0.46456720138153496
1,art,impressed,0.59176446629043,0.6041383369382526
1,art,intellectual,0.39287298497662726,0.3643414048110789
1,art,motivated,0.4518779532903225,0.45521701307329554
1,art,amused,0.5845419219541288,0.591195235177108
1,art,nostalgic,0.6050252351831744,0.6423081703154758
1,art,sad,0.47297217649599416,0.47452198888659897
1,art,distasteful,0.6667540105925708,0.6555677590061115
1,fashion,impressed,0.35775827139723204,0.3776371723059637
1,fashion,intellectual,0.19576276284598187,0.2088525440179508
1,fashion,motivated,0.2540648788743276,0.2677096354517579
1,fashion,amused,0.30992816867862083,0.3236313473841187
1,fashion,nostalgic,0.33241770091180844,0.3263533765756373
1,fashion,sad,0.2495888272917874,0.3025267914443806
1,fashion,distasteful,0.455375847223537,0.519541141270466
1,landscape,impressed,0.6009790063122487,0.5968280288840068
1,landscape,intellectual,0.43562905232910165,0.49177340028824384
1,landscape,motivated,0.4462616957615532,0.44411142091872735
1,landscape,amused,0.6596970125874168,0.6568660624626674
1,landscape,nostalgic,0.5196991732866566,0.5617188649760991
1,landscape,sad,0.3801549835480193,0.43617735128918134
1,landscape,distasteful,0.497082516303842,0.52923215128123
2,art,impressed,0.661764993591037,0.6599424511383966
2,art,intellectual,0.3681171317826323,0.40789302392391535
2,art,motivated,0.5245657993289106,0.556221625269197
2,art,amused,0.7285969374671494,0.7276070242684303
2,art,nostalgic,0.6988746942401994,0.7284557414080389
2,art,sad,0.5638444297196384,0.6009787273200761
2,art,distasteful,0.7599340666468963,0.7484887471767879
2,fashion,impressed,0.30480281760792044,0.3449534866107937
2,fashion,intellectual,0.30723248158774813,0.3103201283859323
2,fashion,motivated,0.2664144877597315,0.291745546471522
2,fashion,amused,0.5248622133487764,0.5306560743380836
2,fashion,nostalgic,0.32069975323814487,0.35991258192620496
2,fashion,sad,0.2834222766713189,0.3477248329678462
2,fashion,distasteful,0.6137172689203799,0.6713039479780742
2,landscape,impressed,0.6281523963314093,0.651280401592398
2,landscape,intellectual,0.5843687277998693,0.6281554920841169
2,landscape,motivated,0.5105267495296315,0.5367668117410724
2,landscape,amused,0.6872933781352997,0.6972998632605226
2,landscape,nostalgic,0.5637663417378173,0.6159339361042127
2,landscape,sad,0.40620465891530344,0.4813145120905897
2,landscape,distasteful,0.5869792370187835,0.616644857578416
3,art,impressed,0.7872306548663226,0.7983688921013138
3,art,intellectual,0.6040101360384923,0.6262714671832406
3,art,motivated,0.6471576115174271,0.6957904199780012
3,art,amused,0.7473949350840629,0.7527715106377496
3,art,nostalgic,0.6866518352010816,0.7428186001734316
3,art,sad,0.6598368375757959,0.6802926769638354
3,art,distasteful,0.6910858654045006,0.6965596283783603
3,fashion,impressed,0.45394806443148683,0.4726679118642589
