user_id,iteration,train_loss,val_r2
15,0,3.432524808161132,-6.645323737547254
15,1,2.4241803534799313,-4.237423665554823
15,2,1.6504807827595367,-2.5610888408190364
15,3,1.1231453528098234,-1.6046735652610677
15,4,0.8425262539962503,-1.3179799044626468
15,5,0.7792220159602773,-1.4989288354979564
15,6,0.8473073199631349,-1.785153151167075
15,7,0.9251577178692459,-1.9147314581085784
15,8,0.9372018113325199,-1.833860629279799
15,9,0.8796778276607321,-1.5876597366367768
15,10,0.7796516962102784,-1.2693426339190377
15,11,0.6707619118911302,-0.9596837521783304
15,12,0.579475942595527,-0.7045511614686977
15,13,0.5175246599756391,-0.5278214502782572
15,14,0.48596848557461797,-0.4237468920379668
15,15,0.478726428687507,-0.3719094442430406
15,16,0.48534755952689934,-0.3474332462427412
15,17,0.4946757733777617,-0.3331616265013482
15,18,0.49963562867870703,-0.31659336085182854
15,19,0.495706790508392,-0.291470675424083
15,20,0.483314899129033,-0.2607133541948303
15,21,0.4645106709901304,-0.22928032711232849
15,22,0.44161940716125386,-0.20520894502581366
15,23,0.4179367183879885,-0.19479767643895074
15,24,0.39631034085930256,-0.20558545643597914
15,25,0.3795780479627301,-0.23618371967120622
15,26,0.36976963344052854,-0.2788821043900078
15,27,0.3664696959234063,-0.314556667104549
15,28,0.3667418817784521,-0.3252478282801383
15,29,0.36641141371332686,-0.3002439929570506
15,30,0.36203696690531695,-0.24224781002021767
15,31,0.3528218147926199,-0.1639678648387206
15,32,0.34055939808799107,-0.08475636538730691
15,33,0.32855358658746486,-0.018174263690800663
15,34,0.31888720522025643,0.02709952229938062
15,35,0.3124105903222723,0.051050135463256985
15,36,0.30840357566884424,0.058129487285104364
15,37,0.30545279369966255,0.053063371603742304
15,38,0.30273978621938746,0.04129698415647276
15,39,0.2993034192504421,0.025349626629261324
15,40,0.2948285278574395,0.0072449668455790706
15,41,0.2894063796107179,-0.013758127075852666
15,42,0.28348045537539884,-0.03840460076856522
15,43,0.2780386274757602,-0.06478598954960013
15,44,0.27386599085632846,-0.09127340477303592
15,45,0.2711138724712418,-0.11531235386683614
15,46,0.2691005310427691,-0.1337752723981731
15,47,0.26701499624220754,-0.14449368117555816
15,48,0.2642777674193024,-0.14680689322264162
15,49,0.2607121485902892,-0.14268474947842114
15,50,0.25662523115773755,-0.13573081179537105
15,51,0.2525836338260665,-0.12757614791011318
15,52,0.24908816621347604,-0.12197880407874151
15,53,0.2462437040321476,-0.12114903665923116
15,54,0.24394950577172506,-0.12771646741075848
15,55,0.24200825399548825,-0.1350357990241109
15,56,0.2402039368428881,-0.14205344957983979
15,57,0.23805782707162854,-0.1480147836715524
116,0,10.092188876191935,-11.765522362341654
116,1,8.118736406991355,-9.327990969159623
116,2,6.4313681839419665,-7.1925908880101
116,3,5.00946537102926,-5.355252511026706
116,4,3.849818240954352,-3.8141280331796583
116,5,2.960591896923356,-2.566458546379232
116,6,2.345070792920475,-1.6221142041557188
116,7,1.998726661182154,-0.9775132874408197
116,8,1.8917289628034217,-0.5877559395948198
116,9,1.946199856312913,-0.3695094508304908
116,10,2.0535307854947407,-0.22734140856415674
116,11,2.119805241202287,-0.09778427886126373
116,12,2.0991714553354983,0.04045352966163096
116,13,1.9902499120987476,0.1788796318750152
116,14,1.8180477344487302,0.2980478252447164
116,15,1.6236486617589088,0.3793418130606554
