test,,srocc_mean,srocc_sd,plcc_mean,plcc_sd,srocc_sig_vs_own,plcc_sig_vs_own,pct_positive,spearman_mean,spearman_sd,spearman_sig,pearson_mean,pearson_sd,pearson_sig
ablation,full,0.42037688477861,0.18165905312358435,0.4298874876321817,0.17731327957237936,,,,,,,,,
ablation,top1_held,0.308944345039412,0.24919714793144288,0.31738208064641715,0.25039856378238495,,,,,,,,,
ablation,avg1_held,0.3950666546772625,0.17781564701618524,0.40445166211570355,0.17396790849444926,,,,,,,,,
ablation,bottom1_held,0.4191667690831441,0.18308367556114064,0.42836973685583435,0.17814008398247158,,,,,,,,,
formula_swap,own,0.42037688477861,0.18165905312358435,0.4298874876321817,0.17731327957237936,False,False,,,,,,,
formula_swap,population_mean,0.40798211642049986,0.17147856058413,0.41774158337409223,0.16723658937310104,True,True,,,,,,,
formula_swap,other_user,0.34963102372385857,0.15267656172538216,0.35884488410838533,0.14880245778959172,True,True,,,,,,,
weight_vs_empirical,art,,,,,,,89.14728682170544,0.42023909857694586,0.3432932077116418,True,0.5184106043423159,0.31206601629806596,True
weight_vs_empirical,fashion,,,,,,,91.40625,0.5364153630141668,0.3173943139519181,True,0.6063143197287899,0.2824087317743299,True
weight_vs_empirical,landscape,,,,,,,93.02325581395348,0.5231133787772676,0.3016368656637746,True,0.5956486348948965,0.27309960653129156,True
weight_vs_empirical,ALL,,,,,,,91.19170984455958,0.4931441348303287,0.32460140641820967,True,0.5733727326085116,0.2915851190248816,True
