fold,domain,user_id,base_srocc,base_plcc,top1_srocc,top1_plcc,bottom1_srocc,bottom1_plcc,avg1_srocc,avg1_plcc
0,art,3,0.13906422173648775,0.09837295612250474,0.14400897113852001,0.10733414291159335,0.13570500086875334,0.09985243548108552,0.13626826338347658,0.09995478619431664
0,art,14,0.5633184220464545,0.5317830183756806,-0.08935806730108206,-0.08840208802965577,0.5633184220464545,0.5318384525691423,0.4762665067244762,0.44225707121007557
0,art,15,0.30832071589184873,0.24851702603295525,0.2877695417530018,0.25136476096592414,0.30986072635703366,0.25672751320213155,0.29700201828566214,0.24700395172133863
0,art,19,0.6448689037811116,0.6293410192816429,0.6367880898568743,0.6330625821151273,0.5924433764084361,0.6022160441884813,0.584391066237018,0.5933122316691873
0,art,21,0.589709226151206,0.5604844810417748,0.5272427989546347,0.49282236472425756,0.5825673318984578,0.555266063368967,0.5757846878596306,0.5435349363533566
0,art,22,0.38078709081021356,0.33958819550713193,0.2371094658286332,0.2698959428029426,0.3734839245115904,0.3431487881171282,0.3623831117376832,0.3215040745346819
0,art,30,0.25478150373156694,0.28522575794964755,0.12704458134440905,0.13293258658273818,0.2365333719619729,0.27766439416471866,0.2228984922425318,0.25135537589262563
0,art,50,0.4543555882598431,0.5279108210359245,0.4093303065336999,0.499661684648549,0.4619825343466314,0.5396824975911487,0.4556405220340705,0.5200574970015773
0,art,57,0.41377245323935147,0.4394702249011262,0.020819770824642488,0.08780372157473369,0.47901866417012084,0.48604562177344646,0.2847944803991778,0.31476663268038496
0,art,62,0.35419420120098544,0.3717838802919382,0.4290981298140047,0.4043196313898375,0.35542455482472096,0.3719466056700483,0.3616044453119411,0.36617921682891297
0,art,63,0.04034274687679091,0.1894254353994276,0.07157584123301614,0.18809987310201526,0.013414213601712115,0.1711531883339097,0.049016222942290265,0.18860700227004187
0,art,79,0.45330830967238483,0.4616413307953393,0.33283951690230723,0.37901259374049706,0.448225238247487,0.4565706130682019,0.4150182587816905,0.43305105423001283
0,art,80,0.7209950978750957,0.6896269034785873,0.051976888358670696,0.06355004013731869,0.6944662512648101,0.6730671461169349,0.5971657408402068,0.576356191423112
0,art,85,0.17700052564633328,0.19062053918777247,-0.07963245009698658,-0.08104761806863078,0.18218400357223793,0.19247229033925192,0.15302875518227552,0.16010053596973625
0,art,86,0.659809378056743,0.6342294746442205,0.6489523800632888,0.6214480076592771,0.6561574787316721,0.6337916726116641,0.6541764290978015,0.6322237809419597
0,art,98,0.3579934904752613,0.4052417921814484,0.4782611645437781,0.47678629830641484,0.31284382266921157,0.3686130809379846,0.3204767359414757,0.3631032513075662
0,art,99,0.7268664691310591,0.7277670216500162,0.727303667435021,0.7215506195176931,0.7236603482353399,0.7283464242579595,0.720197460081738,0.7225056012197414
0,art,105,0.22629927731831095,0.25447206274472,0.2215341248459696,0.24956297842022523,0.21684730357266374,0.25292585180976523,0.22072360252646359,0.25256769326616096
0,art,109,0.5293116493061951,0.5322192904468825,0.39723685081347676,0.3597452221238251,0.5293116493061951,0.534154149983664,0.4811332389925287,0.47176340153753327
0,art,110,0.43967680938870696,0.4730430087436932,-0.2783180925256238,-0.28029197792587573,0.43967680938870696,0.4741900061295624,0.3417016758466365,0.35394113221632956
0,art,116,0.5700799212372001,0.6144185370426735,0.45882522238544887,0.5491614088469606,0.5746987986263522,0.6149920526916367,0.5294997841753636,0.5748529796000797
0,art,117,0.753839980832743,0.7668821213086887,0.7718655242340716,0.7829220085581297,0.753839980832743,0.7669167286463319,0.7405027581142133,0.7609090897326174
0,art,126,0.4658757715428068,0.4550883031845322,0.44711666469881933,0.42951144068807934,0.4741967401953892,0.45737983710756613,0.46588280532865006,0.45189869734750127
0,art,127,0.6501881010033693,0.6843367526010886,0.5375706148295782,0.5517837373807359,0.6591680574172273,0.6795390652571351,0.6586843595307664,0.6733936272939217
0,art,136,0.46695773352060854,0.46920754097682943,0.3912578459371218,0.4441021207333424,0.46164173017907145,0.4633479916592915,0.46035070079612683,0.4654784640647831
0,art,144,0.5575014512483619,0.6082636673385471,-0.06937449398336752,0.013318977411805238,0.561899994606858,0.6094696428497777,0.45973925157517115,0.5034732840744516
0,fashion,3,0.4989448454003697,0.5305830552781576,0.4324518977809758,0.4768366504600841,0.4989448454003697,0.530537828398963,0.49348044732051305,0.5254895388923174
0,fashion,14,0.5944493368964515,0.6363828765100277,-0.42625528659737294,-0.48548643288590737,0.5944984446483638,0.6373252194886558,0.42937713654035886,0.4510897026783939
0,fashion,15,-0.06468944803908179,0.02610824089932494,-0.04924849938653714,0.02884362978603891,-0.0534744432282862,0.015699656378836878,-0.04129970025562819,0.025774371613262462
0,fashion,19,0.4476438913774958,0.4500192720585476,0.033484155790444094,0.012695710787685194,0.44402677578284894,0.451465012370689,0.3953802619691306,0.3972201412001612
0,fashion,21,0.3532481424856052,0.440982877732942,0.34561935679977474,0.4284703448241726,0.35026735867458536,0.45639736715686724,0.34590083517418097,0.43794639818203873
0,fashion,22,0.36324675505083703,0.3497022078758123,0.40418695017262735,0.3671984210310038,0.3626131567929998,0.3486855040397465,0.3547453982066694,0.3428597837094361
0,fashion,30,0.5965241997410703,0.5937905664963639,-0.7040176620238622,-0.6587211773217089,0.5743406458904664,0.5801218697934674,0.4187154651379559,0.42986986237274794
0,fashion,50,0.18817435325310194,0.2678168946996904,0.14126373155461808,0.2572252908281827,0.19189741846726732,0.26943391530025884,0.184474082315758,0.2663979096412605
0,fashion,57,0.13436314799998997,0.13303446167472563,-0.09146811304494132,-0.07980076478574495,0.11861948294428619,0.12085168730996208,0.06809964720816132,0.0874706326173178
0,fashion,62,0.07388404319871353,0.14480414788573437,-0.0963016396950412,-0.08049955583848732,0.024595023087582466,0.11295550878169887,0.054159951674035436,0.08278982967260082
0,fashion,63,0.25461306158696123,0.2968546227598493,0.3439124248897244,0.37084525207120006,0.23268777048522016,0.2928014720717461,0.15212855739385717,0.18637231746816263
0,fashion,79,0.45025341492998333,0.5353885142461807,-0.3990754468431642,-0.434073346207478,0.46044802518951994,0.5324831213542002,0.30435266106485737,0.35735789221658415
0,fashion,80,0.4983613861061587,0.5093822587976238,0.435552589506207,0.4701305880407356,0.49200224003295495,0.5049755375976787,0.4810589183289579,0.5026284275684919
0,fashion,85,0.4435359479201756,0.46998933865194237,0.38763301334693095,0.42544704271072725,0.4222466157563982,0.449831647544102,0.44248236830138094,0.4692807994506397
0,fashion,86,0.22009719795488356,0.21798095495904896,0.2105908402346226,0.2180633720767472,0.2100905056177668,0.21721311048500458,0.217002270967761,0.2172389165691316
0,fashion,98,0.32160865986850734,0.31892742072315616,-0.21838170448030972,-0.2794004953910583,0.34561150398873025,0.3431618421692565,0.16622477939523309,0.16243605008697232
0,fashion,99,0.5802496773122389,0.6188756629998815,0.5950449662811933,0.614862987492836,0.5853447437121437,0.6160691440454886,0.5845048976022692,0.6158097220771582
0,fashion,105,0.2603754354161142,0.22674614561264356,0.2637439472145034,0.2673736822235998,0.2588490785074691,0.2323189119041948,0.2583377865380707,0.2191271787506471
0,fashion,109,0.23979019874655086,0.29819894846552725,-0.4641247739475189,-0.512134785122114,0.20208861213044058,0.23096833341680625,0.14381331023725938,0.17396849581684276
0,fashion,110,0.27811677271200613,0.2681495743375539,0.11677306824073991,0.11950917375267861,0.2939563373813748,0.2770451993531509,0.24725853113215904,0.24870685320039465
0,fashion,116,0.41737518428165477,0.4981586116699282,0.4760308731131446,0.5161446339397535,0.4458737066188054,0.5063207051027968,0.4237584511896233,0.4932018962242698
0,fashion,117,0.4070105176308926,0.47485606716227874,0.3314688026396315,0.38976860897921506,0.40932250624672617,0.4695691726349732,0.4002468739162487,0.45400312289467964
0,fashion,126,0.12083085923563275,0.28134381445400186,-0.1661548421781688,-0.205901816402403,0.1054911979768774,0.24850119972118653,0.08058463748647111,0.1847864428066382
0,fashion,127,0.26413862054877646,0.265380909893285,0.28555659312814535,0.2908700928501209,0.2623210403069493,0.27002302273753076,0.2622719165166297,0.2645978864391222
0,fashion,136,0.5189768800039742,0.505587212477415,-0.11396004274971473,-0.180111925879747,0.5273166162361961,0.4962920527188597,0.31176597145094453,0.29951418226075355
0,fashion,144,0.6326841614121096,0.6606028993431206,0.5833182739479268,0.6090656286368299,0.6344074059437136,0.6630214928077114,0.6231411517791098,0.6536659434209956
0,landscape,3,0.49788053381854946,0.5457974496250089,-0.0011325538797177963,-0.0545268600596132,0.47956270585093985,0.4936847286656376,0.3948814412295559,0.4273581895888396
0,landscape,14,0.35570855388176276,0.4232130280987968,0.31466525920309785,0.38411427441474094,0.3670103306773372,0.4075457394882709,0.285044123654296,0.3413733919704928
0,landscape,15,0.08843467318916777,0.14266150618000914,0.08644427080287943,0.1380524577222007,0.08722582266582941,0.1382242881929387,0.08174132077966718,0.14040156426689582
0,landscape,19,0.6553222762479448,0.6956633070786091,0.6455561450412843,0.681366883933159,0.6544299393864225,0.6939727852948973,0.6492246410275425,0.6842391058683986
0,landscape,21,0.509255459097426,0.4846471953299859,0.1724800927715312,0.2348714378268143,0.49622961875790933,0.47969704773803673,0.4021255866608756,0.40295826249163885
0,landscape,22,0.4643759923170258,0.45171709887105965,-0.28963179871394634,-0.28999826890966773,0.4637423313639323,0.4506858207122452,0.29151885495887303,0.2850582655680304
0,landscape,30,0.4251445724917596,0.5044069948852362,0.4175446162414629,0.49430961925221795,0.4165379995195693,0.5073607676817152,0.41474765977848715,0.4992809455139438
0,landscape,50,0.5014410651010882,0.46865310247156805,0.4879683507950526,0.4448942748925104,0.489304487751023,0.46405408794174596,0.4984824761271535,0.466032434701757
0,landscape,57,0.3973109471571399,0.41229316342100153,0.2976328004415969,0.297316541365148,0.3968796734017455,0.4105077726560522,0.3774492504578132,0.3933135055062231
0,landscape,62,0.3500382540863419,0.4003022124482224,-0.37133411375214925,-0.4625837822858906,0.3393903242534383,0.3940193681551126,0.24721251779609882,0.29949841463765564
0,landscape,63,-0.08640219415818383,-0.1446289035998994,0.030023728950899997,0.04693593652878588,-0.12293709324301394,-0.1650696164829961,-0.10670346158256912,-0.1308642349742411
0,landscape,79,0.39249243879209955,0.3689744921340897,0.3953588687660161,0.37630755329888566,0.3944207644109161,0.3741367774852552,0.38943243172903536,0.3678173027497472
0,landscape,80,0.7223661766244621,0.7109380304867955,0.7184604389838866,0.7074926144240277,0.725344301575401,0.7107343457139745,0.6781197487819411,0.668887971943432
0,landscape,85,0.647184821010626,0.6774899307510417,0.5031357988620355,0.48041313444346745,0.6485995430801317,0.6777265514838795,0.5705083284373696,0.6008176096944429
0,landscape,86,0.6127624144977207,0.5843207026905465,0.4200934012931341,0.2884991795225111,0.6075773437986365,0.5837075043003337,0.5800165295310854,0.53536415413079
0,landscape,98,0.5992655301172529,0.6282339316470451,0.41648880523793314,0.492932283036507,0.596017478463501,0.6255058440163157,0.5756433362717834,0.5974339679295916
0,landscape,99,0.6694468998839562,0.651031604161413,-0.33093449684616233,-0.34112601058227954,0.678491497596549,0.6598838939280458,0.439141409866393,0.42584225516118973
0,landscape,105,0.3557103425084539,0.3895597721320163,0.37528567592447154,0.4402506715495774,0.33908883178180965,0.35598807538959676,0.3193489997656575,0.3603669549301083
0,landscape,109,0.3372348769790198,0.3405300193458065,-0.1790296214970807,-0.1866056161518424,0.31995614642448994,0.3246540022577279,0.24795905775549051,0.253832511532548
0,landscape,110,0.7632878616121406,0.7287029832800265,0.7597604205140451,0.7351532454337739,0.760314732686603,0.7167313779426298,0.6749218626751609,0.6545054862742943
0,landscape,116,0.25805578146807123,0.5031452633797453,0.3219359945623286,0.4992573509713258,0.2276366323755678,0.4871485180357889,0.26690630532308063,0.46634611516198266
0,landscape,117,0.549460102094611,0.5361156235765236,0.5274090354571471,0.5161433807393814,0.549460102094611,0.535940226730875,0.5464036613445996,0.5333118139623059
0,landscape,126,0.16695248151631684,0.20155780893286254,-0.24860221671087274,-0.3162533156050511,0.17025993753689436,0.19538574828206673,0.1219668483494424,0.14175590152748554
0,landscape,127,0.4225990216645519,0.44423785386462344,0.3930733063278961,0.41040217908633947,0.4300782177680425,0.44565336533831384,0.40313635169216316,0.4329780386916725
0,landscape,136,0.6699866106398548,0.7254856679027907,0.6787292589779336,0.7230847590021963,0.6447078674451813,0.7170234146788005,0.6587888839113277,0.7168572693951003
0,landscape,144,0.5017774605033538,0.5699409372574558,-0.414679375961297,-0.41406333495912384,0.5249008457800061,0.5789864917822469,0.3779976120795728,0.43690943201149635
1,art,5,0.20528811337388841,0.28332440165487416,0.05827335321014841,0.15061774463584032,0.20723397226842763,0.28318566370681586,0.1771170509570818,0.23016983343537603
1,art,6,0.7263425755288407,0.7298225396969863,0.681217290236495,0.692429253506124,0.7231513951324761,0.7289783999030265,0.7096601101532016,0.7109663208548387
1,art,16,0.4499019726883089,0.45311307832092707,0.4549236353656924,0.46267005895046254,0.45916523393785147,0.45742497122237896,0.45269488077933634,0.45118880510063164
1,art,17,0.14773925915319075,0.1671408676133596,0.07556354929769378,0.11436109814254107,0.15102890035068622,0.16736750924433813,0.1313752230897433,0.15818594236385605
1,art,23,0.22895575085334488,0.21500376365846258,0.11413335903458874,0.09790044991984953,0.2474119861435436,0.21966514425314526,0.22837218227083575,0.21049594973676466
1,art,35,0.2561242210895504,0.22329624152342598,0.23548417396878077,0.2050622575837341,0.25289269856054103,0.2200003750557762,0.24882723473372279,0.22068121520855785
1,art,39,0.6701203895437143,0.6926103749508186,0.627500693122505,0.6474991146526379,0.6557486314481904,0.6863101226096893,0.6262263500401434,0.6473753433621595
1,art,44,0.7243844582838835,0.7042854913244593,0.6659453750351216,0.6534395808449951,0.7184304763432992,0.7001743577905138,0.7111541814867384,0.6957761910460467
1,art,51,0.6159702189353895,0.6011195970725355,0.5787332156701072,0.536647823980891,0.6159702189353895,0.6053949124053004,0.6070856983358196,0.5931190052201945
1,art,64,0.2899052723897228,0.2765838937333928,0.32436468137054325,0.26977301257419095,0.28643454054992795,0.26750032680276137,0.2933405885984994,0.26587169637418856
1,art,69,0.2797433131777789,0.26531080519553624,0.3080088345918294,0.30268139324914684,0.2797433131777789,0.26546051208436416,0.27849535562232475,0.26447977455601207
1,art,81,0.4079115770418963,0.49403955383443054,0.40904523731159337,0.4981394852838635,0.4033769359631082,0.48999914707510733,0.4020518785050207,0.4909662677988034
1,art,92,0.4879960784310975,0.51227520176629,0.46378778031613155,0.44354880468644103,0.4678143126597974,0.48939458451885515,0.47555872329987914,0.48419966538739684
1,art,100,0.6201139288012738,0.6575128651819409,0.5954805611135577,0.6102653418506151,0.6209599232471146,0.6550458751542755,0.6188769285191201,0.6501374216095704
1,art,101,0.58890512114431,0.5574936183484879,-0.5578127397591711,-0.5866472595995555,0.5857701868228332,0.5521160137795795,0.4302201786984083,0.40456899837380467
1,art,106,0.4356938961483004,0.43644787553169984,0.41093111075545224,0.407218997295587,0.4348869622047453,0.43350004644780854,0.41468479454645424,0.4164733025653708
1,art,111,0.6480849150073164,0.6375733384022313,0.6383907063318083,0.6445698818368997,0.6390796348671235,0.6322661169583335,0.6433397439732568,0.6341823288764216
1,art,118,0.5751321127400782,0.5569465394324298,-0.02357139670098405,-0.020244683610629498,0.5778231390019241,0.5583224708431433,0.48298938018168597,0.46173540718902906
1,art,119,0.609195069929027,0.621453904923402,-0.3442271738961355,-0.4018932107331854,0.610227603945856,0.6214720000641288,0.4510136681672181,0.46066014029915675
