fold,domain,user_id,own_srocc,own_plcc,other_srocc,other_plcc,pop_srocc,pop_plcc
0,art,3,0.1467244473306686,0.11806873535284669,0.12084803561779411,0.08784261709582378,0.12923508916804802,0.08136370561325379
0,art,14,0.5738486667756538,0.549940484875506,0.5775640550102958,0.5827234243957508,0.612890045818817,0.6238170733388566
0,art,15,0.2789543094350468,0.20334708103786578,0.1184533566772921,0.10656706523634718,0.2722632294828641,0.23625110789013445
0,art,19,0.6446693775113774,0.6307756011335311,0.3461880543024189,0.3653997858404952,0.6334460248388255,0.6358806948022601
0,art,21,0.5494732021920617,0.5226302188038014,0.4596965737332215,0.4498644703596096,0.4324869625308502,0.43975639719488474
0,art,22,0.3552260087650324,0.3422344397953144,0.37749579719830073,0.3670904058409739,0.3863861849724914,0.3790567274753406
0,art,30,0.3738147101527396,0.3515351001056569,-0.16358040722889694,-0.1534683787105673,-0.21487298791025974,-0.20802569559202091
0,art,50,0.48239119008231324,0.5171751664026141,0.3270855279040297,0.3384012684984484,0.43726070909980047,0.43537769153915373
0,art,57,0.5013138518248561,0.4722710271731828,0.4018161124088218,0.3997931072200478,0.49956520965585727,0.49448520535926016
0,art,62,0.47791856160383067,0.4522409204425779,0.41598748159947885,0.4155436695493794,0.45227799208518216,0.4498772914891219
0,art,63,0.047650490107574384,0.11364668541930412,0.1494483543731046,0.12868913943738475,0.1856467098833964,0.18841365333781634
0,art,79,0.4468528089627647,0.4584007730551733,0.330663962332451,0.35656706169987895,0.4361275282562303,0.47164543218463595
0,art,80,0.6966278609886111,0.6602263941364704,0.5181575017926008,0.5239422666747215,0.6137989065720526,0.6117531501078881
0,art,85,0.1596206290712411,0.1943314071598003,0.09183903242838172,0.1393200800739493,0.11861017136334823,0.15698299922271508
0,art,86,0.690208972438415,0.6724903697912933,0.4890880196087628,0.4997875193213918,0.655713328813758,0.6541533690750868
0,art,98,0.326053550804606,0.35246346051113164,0.42320420063618247,0.40983041290886585,0.44844069617842863,0.445336211865408
0,art,99,0.7496493585263988,0.7468048565107454,0.6427203688952228,0.6460031037333971,0.7401767286072277,0.7483243403162418
0,art,105,0.25376090509862825,0.264633823618426,0.21559987609613235,0.23135946811639277,0.24680446752004825,0.2588964720937313
0,art,109,0.4989886120133096,0.5051893801364918,0.46790623321893277,0.47214757009778674,0.5326021291459907,0.530114101220581
0,art,110,0.4825345067975642,0.5046060567062226,0.37459888612902276,0.3829847184526955,0.40719951351053224,0.4200255896436234
0,art,116,0.616419310695759,0.6315005751796858,0.5225054841289333,0.5393166277335714,0.5959857987676621,0.6116769897307587
0,art,117,0.7120579468073802,0.7235811944051052,0.46490227589861793,0.4762196876864445,0.7270465780052243,0.7265567301666764
0,art,126,0.4230400157573236,0.44225486619234244,0.3549853242093985,0.37533445195340953,0.45883495191369866,0.45272628593021
0,art,127,0.6566654466133651,0.6586395683988486,0.44925298885328663,0.4772590890481334,0.49949167397081484,0.542284163276524
0,art,136,0.43484907333772516,0.4413440880263638,0.330612879816868,0.3677049341004569,0.3377788523212598,0.3923720648411129
0,art,144,0.67960278776965,0.7009512920670413,0.6651265691214353,0.6755414469648755,0.6757053442874384,0.6731962422965337
0,fashion,3,0.4057952615520385,0.42707902445615026,0.4268629227500759,0.455452466215197,0.4773420695717141,0.49458277692391955
0,fashion,14,0.6582403066303211,0.6780988325615571,0.5149046003491675,0.5859273546682731,0.4954481090415778,0.577493499961746
