fold,domain,user_id,spearman,pearson
0,art,3,0.8571428571428573,0.920000771219635
0,art,14,0.0,0.15646745330313008
0,art,15,0.1785714285714286,0.7483830080659296
0,art,19,0.42857142857142866,0.2752927944742276
0,art,21,0.10714285714285716,0.19897704167367047
0,art,22,-0.3214285714285715,-0.08150101508934048
0,art,30,0.5,0.5742753131001572
0,art,50,0.7500000000000002,0.6797945222210151
0,art,57,0.7142857142857144,0.7851932081611956
0,art,62,0.9642857142857145,0.962124032763514
0,art,63,0.8928571428571429,0.9198094078530982
0,art,79,0.28571428571428575,0.11896120076135566
0,art,80,0.25,0.32107061080163174
0,art,85,-0.25,0.2729270888391008
0,art,86,0.5,0.6329224834532186
0,art,98,0.21428571428571433,0.30844931227904326
0,art,99,0.5357142857142858,0.45918705702390245
0,art,105,0.14285714285714288,0.5431045088895019
0,art,109,0.3571428571428572,0.4269093447551306
0,art,110,-0.42857142857142866,0.095319412082979
0,art,116,0.42857142857142866,0.2745742840797734
0,art,117,0.39285714285714296,0.699441321684482
0,art,126,0.6785714285714287,0.878419427368135
0,art,127,0.8571428571428573,0.8065892091120095
0,art,136,0.39999999999999997,0.5196684215622503
0,art,144,0.03571428571428572,0.05441676617604789
0,fashion,3,0.7500000000000002,0.8111318503783869
0,fashion,14,0.10714285714285716,0.294303119074018
0,fashion,15,0.3214285714285715,0.32194576662116287
0,fashion,19,0.3214285714285715,0.3579136986695508
0,fashion,21,0.9999999999999999,0.7291671520302603
0,fashion,22,0.5714285714285715,0.7435175481523847
0,fashion,30,0.0,0.1667926701690916
0,fashion,50,0.6071428571428572,0.5736887194112325
0,fashion,57,0.28571428571428575,0.6194879608772058
0,fashion,62,-0.03571428571428572,-0.12250701342049325
0,fashion,63,0.21428571428571433,0.2502383410867147
0,fashion,79,0.39285714285714296,0.234675177003159
0,fashion,80,0.39285714285714296,0.6572300066718546
0,fashion,85,0.7857142857142859,0.630229684400812
0,fashion,86,0.3214285714285715,0.3218648301362628
0,fashion,98,-0.14285714285714288,-0.23841044294431651
0,fashion,99,0.942857142857143,0.9582882771493009
0,fashion,105,0.5357142857142858,0.5887083985518393
0,fashion,109,-0.10714285714285716,0.19756604676595912
0,fashion,110,0.2571428571428572,0.3695921881198389
0,fashion,116,0.8214285714285715,0.8649149747877845
0,fashion,117,1.0,0.9148093526184975
0,fashion,126,0.14285714285714288,-0.15617079450940588
0,fashion,127,0.39285714285714296,0.6371691179005168
0,fashion,136,0.632455532033676,0.7516506636474987
0,fashion,144,0.5357142857142858,0.7600933738871583
0,landscape,3,0.39285714285714296,0.6660938976286079
0,landscape,14,0.1785714285714286,0.0018709939266210206
0,landscape,15,0.07142857142857144,0.13734816306286357
0,landscape,19,0.6071428571428572,0.657071734298308
0,landscape,21,0.3714285714285715,0.45630778899563573
0,landscape,22,0.4642857142857144,0.2713681797744954
0,landscape,30,0.8571428571428573,0.7324980395331698
