setting,emotion,art_mean,art_sd,art_sem,art_pct_pos,fashion_mean,fashion_sd,fashion_sem,fashion_pct_pos,landscape_mean,landscape_sd,landscape_sem,landscape_pct_pos,avg_mean,avg_sd,avg_sem,avg_pct_pos,rank
gt,impressed,0.3142948307162438,0.20706473599903416,0.018231033447842566,97.67441860465115,0.22407839146721747,0.160839692568074,0.014161145309469547,91.47286821705426,0.2585766668491733,0.1703041415146682,0.014994443574759691,97.67441860465115,0.2656499630108782,0.183845523574683,0.009345393169062776,95.60723514211887,2
gt,intellectual,0.17846726376500524,0.1192055895353244,0.010495466934545667,82.17054263565892,0.13636199648055689,0.10694640119530933,0.009416105586067388,75.96899224806202,0.13314330235249136,0.0868280222213459,0.007644781085924541,82.17054263565892,0.14932418753268448,0.10692229516959452,0.0054351657166813085,80.10335917312662,4
gt,motivated,0.11892528529408787,0.09147938962432159,0.008054311150484881,75.1937984496124,0.1422779329210447,0.11511683557357652,0.010135472221409326,80.62015503875969,0.15448393070396813,0.11960577811257674,0.010530701574099965,89.14728682170544,0.13856238297303353,0.11014289236356858,0.005598877872580723,81.65374677002583,5
gt,amused,0.4508296809826833,0.2691573512112697,0.023697983381816667,98.44961240310077,0.41914460678494764,0.2538647318393294,0.022351543323204902,96.89922480620154,0.4629647271803943,0.2386417073213707,0.021011230749819507,100.0,0.44431300498267506,0.25420787660822225,0.012922112583347023,98.44961240310077,1
gt,nostalgic,0.12923672140999284,0.09072608558772088,0.007987986428308497,83.72093023255815,0.08480683823048049,0.06626376796117649,0.005834199455796867,59.68992248062015,0.09063567035797813,0.06975903392498484,0.0061419404643652835,70.54263565891473,0.10155974333281716,0.07866987943882806,0.003999014714219883,71.31782945736434,6
gt,sad,0.10057048122871944,0.08808457881577747,0.007755414725166211,66.66666666666666,0.09812320933686847,0.09610334076628575,0.008461427347859657,32.55813953488372,0.08747722972671053,0.06809601825327341,0.00599552009882608,42.63565891472868,0.09539030676409947,0.08488600540599629,0.004314998155220062,47.286821705426355,7
gt,distasteful,0.23483667470283548,0.17550422427924087,0.015452285333063318,8.527131782945736,0.27024863388477044,0.217101479759648,0.019114719461901616,7.751937984496124,0.1948617176657954,0.15789309689783496,0.013901712026625834,8.527131782945736,0.23331567541780043,0.18724713643198818,0.009518306868250791,8.2687338501292,3
pred,impressed,0.5131068229675293,0.6830099821090698,0.060135677538973205,90.69767441860465,0.21330949664115906,0.345704048871994,0.03043754331556909,83.72093023255815,0.2669137120246887,0.3881206810474396,0.034172120989200756,89.92248062015504,0.33111000061035156,0.5112364888191223,0.025987609757319906,88.11369509043928,1
pred,intellectual,0.16817201673984528,0.1756930947303772,0.015468914240923603,55.81395348837209,0.23351353406906128,0.4128032326698303,0.03634529992903282,68.9922480620155,0.19873341917991638,0.216457337141037,0.01905800534984681,60.46511627906976,0.20013964176177979,0.2880890965461731,0.01464439185144059,61.75710594315246,5
pred,motivated,0.33145764470100403,0.43624183535575867,0.03840895113655503,66.66666666666666,0.16014039516448975,0.17540337145328522,0.015443406156491186,70.54263565891473,0.23153506219387054,0.3438526690006256,0.030274539942268395,79.06976744186046,0.24104437232017517,0.3427334725856781,0.017422120951185817,72.09302325581395,3
pred,amused,0.27781736850738525,0.330675333738327,0.02911434007947431,73.64341085271317,0.2741626799106598,0.5103675723075867,0.04493535633419205,72.09302325581395,0.2588251829147339,0.4659232497215271,0.04102225472024931,84.49612403100775,0.27026841044425964,0.441236287355423,0.022429300224358115,76.74418604651163,2
pred,nostalgic,0.2681046426296234,0.2992222011089325,0.026345046672052886,69.76744186046511,0.11037317663431168,0.13708043098449707,0.012069259498588539,49.6124031007752,0.13819968700408936,0.12902244925498962,0.011359793115532982,49.6124031007752,0.17222583293914795,0.2148931920528412,0.010923634731177485,56.33074935400517,7
pred,sad,0.18697628378868103,0.20582805573940277,0.018122148978387185,47.286821705426355,0.19576092064380646,0.2608305811882019,0.022964850513945603,40.310077519379846,0.15916089713573456,0.16194623708724976,0.014258570647477107,51.93798449612403,0.18063269555568695,0.21342326700687408,0.01084891484184782,46.51162790697674,6
pred,distasteful,0.23801179230213165,0.22143717110157013,0.01949645574142428,35.65891472868217,0.2546851933002472,0.2713830769062042,0.02389394888485179,9.30232558139535,0.20122063159942627,0.16762177646160126,0.014758274957121557,18.6046511627907,0.23130585253238678,0.2247217446565628,0.01142324797909146,21.188630490956072,4
