backbone,label,n_srocc,direct_srocc_mean,direct_srocc_sd,direct_srocc_sem,hybrid_srocc_mean,hybrid_srocc_sd,hybrid_srocc_sem,hybrid_srocc_best,hybrid_srocc_sig,art_n_srocc,art_direct_srocc_mean,art_direct_srocc_sd,art_direct_srocc_sem,art_hybrid_srocc_mean,art_hybrid_srocc_sd,art_hybrid_srocc_sem,art_hybrid_srocc_best,art_hybrid_srocc_sig,fashion_n_srocc,fashion_direct_srocc_mean,fashion_direct_srocc_sd,fashion_direct_srocc_sem,fashion_hybrid_srocc_mean,fashion_hybrid_srocc_sd,fashion_hybrid_srocc_sem,fashion_hybrid_srocc_best,fashion_hybrid_srocc_sig,landscape_n_srocc,landscape_direct_srocc_mean,landscape_direct_srocc_sd,landscape_direct_srocc_sem,landscape_hybrid_srocc_mean,landscape_hybrid_srocc_sd,landscape_hybrid_srocc_sem,landscape_hybrid_srocc_best,landscape_hybrid_srocc_sig,n_plcc,direct_plcc_mean,direct_plcc_sd,direct_plcc_sem,hybrid_plcc_mean,hybrid_plcc_sd,hybrid_plcc_sem,hybrid_plcc_best,hybrid_plcc_sig,art_n_plcc,art_direct_plcc_mean,art_direct_plcc_sd,art_direct_plcc_sem,art_hybrid_plcc_mean,art_hybrid_plcc_sd,art_hybrid_plcc_sem,art_hybrid_plcc_best,art_hybrid_plcc_sig,fashion_n_plcc,fashion_direct_plcc_mean,fashion_direct_plcc_sd,fashion_direct_plcc_sem,fashion_hybrid_plcc_mean,fashion_hybrid_plcc_sd,fashion_hybrid_plcc_sem,fashion_hybrid_plcc_best,fashion_hybrid_plcc_sig,landscape_n_plcc,landscape_direct_plcc_mean,landscape_direct_plcc_sd,landscape_direct_plcc_sem,landscape_hybrid_plcc_mean,landscape_hybrid_plcc_sd,landscape_hybrid_plcc_sem,landscape_hybrid_plcc_best,landscape_hybrid_plcc_sig
clip,CLIP frozen,386,0.40086851286883196,0.1956363427802881,0.009957627666631769,0.4200229508069402,0.1846507552148045,0.0093984759818187,True,True,129,0.4877541473954055,0.16446319383347605,0.014480176806789074,0.47994244927306606,0.17477468725956283,0.015388053180045954,False,False,129,0.30378558519046134,0.1741058690530453,0.01532916702043641,0.3177900544037409,0.16747653571968554,0.014745486766267284,True,False,128,0.4111454723733775,0.2021523671014996,0.01786791370129784,0.4626669221653969,0.16795762489522564,0.014845496939425067,True,True,386,0.4113003155408461,0.19099870968171742,0.009721578357011023,0.4295252128472919,0.18018123714534176,0.009170983501881187,True,True,129,0.49579500728915327,0.1608823893804363,0.014164904554183707,0.48639528281116984,0.17143640170786498,0.015094133526089345,False,False,129,0.3192116889621871,0.1690580654975633,0.014884732698898628,0.3341274922750034,0.16279370974839483,0.014333186929208477,True,False,128,0.41895357798706,0.1994322230565481,0.01762748466379916,0.4683538607260806,0.16744347986551725,0.014800052509797547,True,True
clip_ft,CLIP-ft (score),386,0.44682885021133795,0.18023746270576865,0.009173845307556563,0.42544520460454205,0.17703845268315999,0.009011019984540099,False,True,129,0.5151449126905512,0.15776775169319945,0.013890675996723343,0.4782677306282632,0.16596876694053916,0.014612735127454394,False,True,129,0.35575417587309033,0.16182645541993654,0.014248024934194628,0.33671286821387153,0.16209375866270107,0.014271559672430208,False,True,128,0.4697652637255213,0.18249141002840702,0.016130114192422666,0.4616355603649834,0.16917322262540016,0.014952941614200238,False,False,386,0.4532884029573855,0.17787781950874001,0.009053742631089648,0.43118395362473955,0.17409917500226765,0.008861414689638237,False,True,129,0.5236925577534037,0.15828202438441322,0.01393595518243111,0.48524444657637916,0.16525274995167738,0.014549693346775604,False,True,129,0.3640663112994315,0.1541049979193511,0.013568188508740104,0.3442644365344297,0.1526563143836956,0.013440639035545415,False,True,128,0.47225335495105525,0.18234320230143206,0.016117014356326634,0.46429968888949313,0.17066768500196264,0.015085034674287175,False,False
qwen4b,Qwen3-VL 4B,386,0.41497011076209217,0.18519298174785084,0.009426074585689084,0.4356778126828245,0.1775466403446222,0.009036886055463843,True,True,129,0.480195638778876,0.1569738851098421,0.01382077994144148,0.4883279604739802,0.17304335210614497,0.015235617619547937,True,False,129,0.3169469810394683,0.17726635117112857,0.015607431954965646,0.35042896929574824,0.1646743441749781,0.014498767557743717,True,True,128,0.4480239437312592,0.179670639761039,0.0158807909693945,0.46853118558808826,0.16360006173942107,0.01446033913231031,True,False,386,0.42540254182746307,0.1801911667176813,0.00917148890380621,0.4451400652550198,0.17231509054493155,0.008770607181690038,True,True,129,0.4886277980347509,0.1565443508359458,0.013782961557366491,0.4928165238780391,0.16985717007433404,0.014955089933785304,True,False,129,0.3332011756057067,0.16616420640161808,0.014629942612518267,0.3657710210284143,0.15755378748845233,0.01387183749892426,True,True,128,0.4546050277014194,0.1798535901507272,0.015896961652040655,0.47708024918363434,0.1618013616518854,0.014301355003658147,True,True
qwen8b,Qwen3-VL 8B,386,0.4269375835742176,0.18472907178085862,0.00940246219007537,0.44620263588392867,0.17466265268493328,0.008890094948544642,True,True,129,0.49626227753331337,0.15399721076683343,0.01355869837912766,0.49125781383859246,0.16212401713386473,0.014274223782266216,False,False,129,0.3301820341707647,0.17612440495219686,0.01550688919662229,0.3680282242849005,0.16341716631850028,0.014388079219428878,True,True,128,0.454582742576734,0.18199566967178807,0.016086296521438528,0.47958061354113946,0.1722878252453354,0.015228236193357439,True,True,386,0.4377731044580222,0.18095492751268763,0.009210363304722533,0.4545358101618634,0.17168001975033492,0.00873828292933143,True,True,129,0.5009824606686536,0.15757363170038227,0.013873584684362162,0.49539622095737,0.16400529939224112,0.014439861449210398,False,False,129,0.349714618070299,0.16790637569184177,0.014783332065573277,0.38101236281028855,0.16003075634450786,0.014089922446349702,True,True,128,0.4628163684646224,0.18237058840335754,0.016119434968624356,0.487454026691026,0.16778123643924714,0.014829906255256889,True,True
