backbone,label,head,pop_srocc_mean,pop_srocc_sem,direct_beats_pop_srocc,direct_sig_vs_pop_srocc,hybrid_beats_pop_srocc,hybrid_sig_vs_pop_srocc,pop_plcc_mean,pop_plcc_sem,direct_beats_pop_plcc,direct_sig_vs_pop_plcc,hybrid_beats_pop_plcc,hybrid_sig_vs_pop_plcc,n_srocc,direct_srocc_mean,direct_srocc_sd,direct_srocc_sem,hybrid_srocc_mean,hybrid_srocc_sd,hybrid_srocc_sem,hybrid_srocc_best,hybrid_srocc_sig,art_n_srocc,art_direct_srocc_mean,art_direct_srocc_sd,art_direct_srocc_sem,art_hybrid_srocc_mean,art_hybrid_srocc_sd,art_hybrid_srocc_sem,art_hybrid_srocc_best,art_hybrid_srocc_sig,fashion_n_srocc,fashion_direct_srocc_mean,fashion_direct_srocc_sd,fashion_direct_srocc_sem,fashion_hybrid_srocc_mean,fashion_hybrid_srocc_sd,fashion_hybrid_srocc_sem,fashion_hybrid_srocc_best,fashion_hybrid_srocc_sig,landscape_n_srocc,landscape_direct_srocc_mean,landscape_direct_srocc_sd,landscape_direct_srocc_sem,landscape_hybrid_srocc_mean,landscape_hybrid_srocc_sd,landscape_hybrid_srocc_sem,landscape_hybrid_srocc_best,landscape_hybrid_srocc_sig,n_plcc,direct_plcc_mean,direct_plcc_sd,direct_plcc_sem,hybrid_plcc_mean,hybrid_plcc_sd,hybrid_plcc_sem,hybrid_plcc_best,hybrid_plcc_sig,art_n_plcc,art_direct_plcc_mean,art_direct_plcc_sd,art_direct_plcc_sem,art_hybrid_plcc_mean,art_hybrid_plcc_sd,art_hybrid_plcc_sem,art_hybrid_plcc_best,art_hybrid_plcc_sig,fashion_n_plcc,fashion_direct_plcc_mean,fashion_direct_plcc_sd,fashion_direct_plcc_sem,fashion_hybrid_plcc_mean,fashion_hybrid_plcc_sd,fashion_hybrid_plcc_sem,fashion_hybrid_plcc_best,fashion_hybrid_plcc_sig,landscape_n_plcc,landscape_direct_plcc_mean,landscape_direct_plcc_sd,landscape_direct_plcc_sem,landscape_hybrid_plcc_mean,landscape_hybrid_plcc_sd,landscape_hybrid_plcc_sem,landscape_hybrid_plcc_best,landscape_hybrid_plcc_sig
clip,CLIP frozen,lasso,0.4127070897220976,0.009144145480991224,False,True,True,False,0.42275592957938146,0.008891829536140218,False,True,True,False,385,0.33149992955663116,0.19764131275070085,0.010072733995544007,0.4182577489187333,0.18477082994801966,0.009416793454260733,True,True,129,0.41970790520546614,0.17892718889086653,0.015753660562525952,0.4800020222358497,0.17578757763080993,0.015477233204583257,True,True,129,0.2312241763356531,0.16690526308402562,0.014695189015284703,0.3185503329481412,0.17007103841406035,0.014973919991139941,True,True,127,0.3437577508700679,0.19952874768663162,0.017705313307537794,0.45681873633840553,0.1664070775897814,0.014766240351220485,True,True,385,0.3417983272488642,0.19469602036462372,0.009922627996291324,0.42794173934182106,0.18188347983115508,0.00926964046648502,True,True,129,0.42482765211563034,0.17808090341038224,0.015679149280695692,0.4846981364744797,0.17567006774874863,0.015466887036366948,True,True,129,0.24405263653933382,0.16802782547373699,0.014794025122627548,0.3352212298243815,0.16674850708725925,0.01468138741934221,True,True,127,0.356746446884428,0.19380939116945356,0.01719780248401885,0.46447221570116526,0.1666704781889588,0.014789613374846902,True,True
clip_ft,CLIP-ft (score),lasso,0.4148210134097685,0.009117824250639147,False,True,True,False,0.4198983940420201,0.009038728986678653,False,True,True,False,380,0.3883538906817835,0.1873926529139833,0.009613040261477692,0.4244151140338406,0.17801295451174068,0.00913187188598826,True,True,129,0.46130687982621876,0.17739795617727797,0.015619019129659769,0.47512550454114094,0.16626370348031266,0.014638702841829606,True,False,129,0.296904622215766,0.16583904600718982,0.01460131383612071,0.3356277770246835,0.16590927370262296,0.014607497039930037,True,True,122,0.4079114319316534,0.18064226566675176,0.0163545822889502,0.4646768033677709,0.16767402204709378,0.015180492677983335,True,True,380,0.3952054819696439,0.18699574147246634,0.009592679134143127,0.429762027817195,0.17508867162806055,0.008981859339286812,True,True,129,0.4707762362731857,0.17428672459017103,0.015345090462594047,0.482623948279296,0.164010292820141,0.014440301096022411,True,False,129,0.30276506414309845,0.1630987462493463,0.014360043895580989,0.34339534354555784,0.1583508181378465,0.013942012134687097,True,True,122,0.41304307700626247,0.18366605136767042,0.01662834298325557,0.4651891961076063,0.16983437493986284,0.015376081838845295,True,True
qwen4b,Qwen3-VL 4B,lasso,0.4321592423803223,0.008958584786416781,False,True,True,False,0.4389835705811234,0.008779988589189084,False,True,True,False,380,0.387025415464774,0.1811417438842931,0.009292375394211905,0.4399993003876963,0.17183493813385045,0.008814946332861116,True,True,128,0.4602291003217212,0.15368004191824594,0.013583524971678073,0.4907735380177741,0.17248033559840398,0.015245251865370365,True,True,126,0.2775764362344979,0.16786452481901373,0.014954560458722866,0.3568676570429033,0.15749689923143378,0.014030938961982983,True,True,126,0.4221087465864053,0.16884923796252274,0.015042285677943433,0.47155076582256905,0.1545521500527671,0.013768599854445967,True,True,380,0.39271011340275874,0.18059768077268926,0.009264465545478223,0.4496342310468233,0.16750787602472478,0.008592972730256571,True,True,128,0.4635595385642075,0.15563833775243247,0.013756615504668404,0.49584234319806075,0.16906406442807875,0.014943293301506731,True,True,126,0.2857607233134459,0.16705168586909233,0.014882147009645937,0.3714649159510736,0.15499906365359034,0.013808414082440492,True,True,126,0.4276854842804411,0.1687313852902236,0.015031786527422979,0.4808619718936971,0.15060254703627857,0.013416741252030039,True,True
qwen8b,Qwen3-VL 8B,lasso,0.4336583682110248,0.009146741216320703,False,True,True,False,0.44128804350928746,0.008955540143507613,False,True,True,False,384,0.38865472322118594,0.18508437805086714,0.009445047616354231,0.4449477487430067,0.17517426561665325,0.008939324308907669,True,True,129,0.46722182467220974,0.15611643756682536,0.013745285894803906,0.48539279126386925,0.16500463467875312,0.014527848015083665,True,True,129,0.2988582473250967,0.17285917434516596,0.015219401671890039,0.362672714966198,0.16355448785561116,0.014400169706609608,True,True,126,0.4001514637244671,0.1859607291207463,0.01656669847058353,0.4877736921717135,0.1680097054336148,0.014967494175842828,True,True,384,0.3968661661786519,0.18238733397412493,0.009307414662149769,0.4526378997394757,0.17174393683757727,0.008764271076434325,True,True,129,0.4688715608844413,0.16418638034845498,0.014455804738412077,0.48997022327348044,0.16554522704470342,0.01457544451893903,True,True,129,0.31527339558995326,0.168928143430232,0.014873293698705273,0.37301244419817475,0.1576745458169786,0.013882469676903991,True,True,126,0.40668181291591604,0.1810536537516011,0.016129541451478328,0.49593801108027885,0.16426655873164114,0.014634028163766204,True,True
