fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,backbone
0,art,3,population,ridge,,0.06964845042931801,0.10003716909823884,0.09597853736500243,clip
0,art,3,identity,ridge,25.93579358411934,0.08210188243107222,0.08514427027068518,0.14161578987005935,clip
0,art,3,emotion,ridge,4.749825766080493,0.03099997223593279,0.04678525782997948,0.1006242158663594,clip
0,art,14,population,ridge,,0.3209066653858065,0.6387189479847772,0.6318512870507693,clip
0,art,14,identity,ridge,26.146016696019746,0.5198296311991921,0.6272946258729103,0.6176580342096561,clip
0,art,14,emotion,ridge,4.7096972853753964,0.4947427472017087,0.6226255550967559,0.6110044091149672,clip
0,art,15,population,ridge,,0.16769033439696074,0.22654084980961536,0.23011953377466243,clip
0,art,15,identity,ridge,26.20570194211716,0.1658921120086499,0.17635775016824487,0.1741505668302663,clip
0,art,15,emotion,ridge,4.6902485711418205,0.15052865791205067,0.24358717254493803,0.1996163960425914,clip
0,art,19,population,ridge,,0.5000571816493982,0.5763815116948287,0.5774939103925284,clip
0,art,19,identity,ridge,26.51827816995044,0.5102450946296175,0.6094529909032813,0.6079910008088775,clip
0,art,19,emotion,ridge,4.680132101980209,0.4660187872225389,0.55862367368848,0.5658408400711396,clip
0,art,21,population,ridge,,0.25805701237029915,0.46201014511087224,0.4633575856002242,clip
0,art,21,identity,ridge,25.82276930731114,0.47106696812750076,0.514819926557249,0.5640449551179656,clip
0,art,21,emotion,ridge,4.704220165856566,0.44788838020330196,0.5309143361409066,0.5383455614190845,clip
0,art,22,population,ridge,,0.2893085020024009,0.41978599884486145,0.42412404305248314,clip
0,art,22,identity,ridge,26.032452510861702,0.4405284938408095,0.4729530494988384,0.4962485550753064,clip
0,art,22,emotion,ridge,4.611889384589683,0.3241561679189398,0.3611659173545793,0.3538791047432581,clip
0,art,30,population,ridge,,-0.18719280161253668,-0.21670274638038162,-0.20978902443484168,clip
0,art,30,identity,ridge,26.225263533047816,0.16815823503190164,0.24469310568008407,0.23855121781269056,clip
0,art,30,emotion,ridge,4.9486951559338905,0.1628827026188317,0.29676704268112053,0.28021472087074717,clip
0,art,50,population,ridge,,0.4947974122642473,0.4833905830178234,0.5183754203470747,clip
0,art,50,identity,ridge,26.410679642143343,0.5507929680745541,0.519210929811636,0.5887614036029656,clip
0,art,50,emotion,ridge,4.858808040047271,0.48306818954018454,0.5561884684255131,0.568672977733547,clip
0,art,57,population,ridge,,0.46513086631937445,0.5106581584154437,0.5381884294109579,clip
0,art,57,identity,ridge,26.21145693996831,0.5626643047175173,0.5566146604194445,0.5941656784770385,clip
0,art,57,emotion,ridge,4.7554179896994855,0.5059473805616019,0.6155766885553743,0.5864453769170241,clip
0,art,62,population,ridge,,0.2660495927596686,0.494897441611381,0.5166440506297976,clip
0,art,62,identity,ridge,26.159333721795303,0.48107671887860454,0.5873708199713438,0.577481605212844,clip
0,art,62,emotion,ridge,4.74377930331323,0.3768152630018178,0.5028209189482379,0.5035713666270591,clip
0,art,63,population,ridge,,0.11741541129049775,0.15671605517522624,0.163833133954746,clip
0,art,63,identity,ridge,25.90955988052925,0.06979254463643982,-0.004354614116973709,0.09425415930402499,clip
0,art,63,emotion,ridge,4.718483995099771,0.02061047684136132,-0.06692090890107873,0.032281909320429264,clip
0,art,79,population,ridge,,0.45545122605331173,0.4647452203784049,0.514366574503659,clip
0,art,79,identity,ridge,26.180469276072195,0.4633887526496523,0.4411597689668791,0.5116334566131187,clip
0,art,79,emotion,ridge,4.824060331995247,0.4220186137363052,0.5137968596286685,0.5144304451702023,clip
0,art,80,population,ridge,,0.3398357004905942,0.6826756527713498,0.6575850467488001,clip
0,art,80,identity,ridge,26.26029068410865,0.794568026320825,0.8145338459232138,0.8377920484528878,clip
0,art,80,emotion,ridge,4.784037480534368,0.5952568077015291,0.6714745842025623,0.6519281965721034,clip
0,art,85,population,ridge,,0.05043391730441451,0.028051762893131202,0.09350560046981476,clip
0,art,85,identity,ridge,26.367515909789024,0.44935438788236765,0.45065766908747734,0.48340347323341726,clip
0,art,85,emotion,ridge,4.870578036211997,-0.012423328694297906,-0.04975122440647725,-0.016459698006023222,clip
0,art,86,population,ridge,,0.39518105019930316,0.6414511814496295,0.643602229215165,clip
0,art,86,identity,ridge,26.436628756884154,0.5031589915242678,0.5971348896399844,0.6120511089373674,clip
0,art,86,emotion,ridge,4.738561028584989,0.3894558667628293,0.6202306853715145,0.6141499209092038,clip
0,art,98,population,ridge,,0.2169605606720002,0.40329102837237885,0.41653168088295145,clip
0,art,98,identity,ridge,25.93983672179984,0.4316673815317727,0.42680237285216677,0.4701323469669709,clip
0,art,98,emotion,ridge,4.822360187096557,0.3177058575035155,0.29100833922152586,0.3347641141042803,clip
0,art,99,population,ridge,,0.47823471780758925,0.7264778484164266,0.7392397886624106,clip
0,art,99,identity,ridge,26.04745771902418,0.7016505864288198,0.8012387583938843,0.7937228731284096,clip
0,art,99,emotion,ridge,4.751811183062549,0.6786810094820066,0.7510581086169423,0.739297376490838,clip
0,art,105,population,ridge,,0.19227193873682316,0.25833227836455225,0.2500594446220501,clip
0,art,105,identity,ridge,26.45721499214986,0.24995392550185747,0.34807032312823394,0.32711634119627003,clip
0,art,105,emotion,ridge,4.839582578042922,0.10217354800056301,0.19910318126692841,0.20614018356620858,clip
0,art,109,population,ridge,,0.36911584970446565,0.46805810151923105,0.48389330105296025,clip
0,art,109,identity,ridge,26.083685088537223,0.4063007155409124,0.46304644760938857,0.46181306204125694,clip
0,art,109,emotion,ridge,4.691074784695038,0.29914117383425004,0.3836699493201657,0.3951853687364195,clip
0,art,110,population,ridge,,0.3185588218896965,0.485309465622598,0.5076554083603507,clip
0,art,110,identity,ridge,26.001646727980845,0.4676287596503527,0.5254949804592003,0.5131925021339441,clip
0,art,110,emotion,ridge,4.683287289107072,0.4816715676974632,0.533717080681523,0.5526899110796336,clip
0,art,116,population,ridge,,0.3787448296486281,0.5973413388710003,0.611499830147901,clip
0,art,116,identity,ridge,26.12986195695445,0.6108887981778759,0.6062778625152292,0.6216177401709768,clip
0,art,116,emotion,ridge,4.802161712761753,0.6139433797557093,0.6259582966081383,0.6396451345746081,clip
0,art,117,population,ridge,,0.4259790998810352,0.7377247531723158,0.739340507185771,clip
0,art,117,identity,ridge,25.97192601117574,0.6374745065053093,0.7757841206256647,0.7558512481800833,clip
0,art,117,emotion,ridge,4.793550144628282,0.6540445297645504,0.6990286138053329,0.723892147859439,clip
0,art,126,population,ridge,,0.39340195931160243,0.4633154734958584,0.47829847222677774,clip
0,art,126,identity,ridge,26.163115275458765,0.442676048106198,0.5135367044167697,0.5255580987429425,clip
0,art,126,emotion,ridge,4.698215679343818,0.38014695881545746,0.4376632565254714,0.4582305513900477,clip
0,art,127,population,ridge,,0.2522318005099091,0.4662216715194727,0.49767687991165166,clip
0,art,127,identity,ridge,26.123737440185813,0.4962157389979977,0.5340865880242016,0.5721159854677556,clip
0,art,127,emotion,ridge,4.812263116585791,0.5816236270499587,0.6358594273812572,0.651651351721604,clip
0,art,136,population,ridge,,0.3760074356390837,0.3459654974672268,0.3940516675572949,clip
0,art,136,identity,ridge,25.91647756308209,0.5463348875021509,0.5564792297920912,0.5682775429474268,clip
0,art,136,emotion,ridge,4.8814353717276715,0.4170795593291043,0.41836946297896044,0.43219441138391,clip
0,art,144,population,ridge,,0.17433922069888777,0.6680774906151098,0.670650110356021,clip
0,art,144,identity,ridge,26.482438535924615,0.6177572235960718,0.6115645601230408,0.636607454118186,clip
0,art,144,emotion,ridge,4.86101216059408,0.5838550245634814,0.6287689892088036,0.650122771251207,clip
0,fashion,3,population,ridge,,0.22144037474297826,0.4345824467732514,0.4744859337904726,clip
0,fashion,3,identity,ridge,26.496742047762744,0.3875418331344113,0.5087057326440512,0.5163667600212706,clip
0,fashion,3,emotion,ridge,3.126492757477834,0.3162638403441943,0.44102364140106165,0.4748275455922842,clip
0,fashion,14,population,ridge,,0.2171978205101747,0.4601396354167493,0.5392255816077388,clip
0,fashion,14,identity,ridge,26.55651588794046,0.4699016064671733,0.5847260020178479,0.6002477200509228,clip
0,fashion,14,emotion,ridge,3.3112210936610533,0.4584314022994127,0.5340959097964318,0.602637537233804,clip
0,fashion,15,population,ridge,,0.002454351763093634,-0.0065014520642293246,0.0056819844669372625,clip
0,fashion,15,identity,ridge,26.33688591499224,-0.09148451999620658,-0.14444059336029483,-0.10433877659270124,clip
0,fashion,15,emotion,ridge,2.990124542438006,0.029117981952249124,0.04507673431198998,0.058775344919134616,clip
0,fashion,19,population,ridge,,0.3096700376136958,0.4268196401683152,0.4763974965257706,clip
0,fashion,19,identity,ridge,26.5985577824357,0.3619791021293111,0.45467143024709505,0.49281320905771997,clip
0,fashion,19,emotion,ridge,3.2319515733685487,0.3610549047228835,0.4285248518057915,0.47765144936310977,clip
0,fashion,21,population,ridge,,0.12243255819335681,0.18723364073965285,0.2307476078624533,clip
0,fashion,21,identity,ridge,26.511167985776005,0.20801948628840208,0.2823661138947436,0.3120414544949514,clip
0,fashion,21,emotion,ridge,3.2364148771621406,0.14446169002458684,0.21663730477378074,0.24384678804567148,clip
