fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,backbone
0,art,3,population,ridge,,0.06964845042931801,0.10003716909823884,0.09597853736500243,clip
0,art,3,identity,ridge,25.93579358411934,0.08210170253742581,0.08514427027068518,0.14161547164069488,clip
0,art,3,emotion,ridge,6.950357283796225,-0.0026835026231591605,-0.02856105268573616,-0.007468451940953868,clip
0,art,14,population,ridge,,0.3209066653858065,0.6387189479847772,0.6318512870507693,clip
0,art,14,identity,ridge,26.146016696019746,0.5198294282687411,0.6272946258729103,0.6176579968666782,clip
0,art,14,emotion,ridge,6.944953488081719,0.42798944606389977,0.543152009970724,0.5180101037490833,clip
0,art,15,population,ridge,,0.16769033439696074,0.22654084980961536,0.23011953377466243,clip
0,art,15,identity,ridge,26.20570194211716,0.16589171685666565,0.17635775016824487,0.17415012026771734,clip
0,art,15,emotion,ridge,6.948115664866621,0.1584391581534592,0.3323236376250757,0.2525779206864431,clip
0,art,19,population,ridge,,0.5000571816493982,0.5763815116948287,0.5774939103925284,clip
0,art,19,identity,ridge,26.51827816995044,0.5102451281161501,0.6094529909032813,0.6079910309637971,clip
0,art,19,emotion,ridge,6.942430361197946,0.5419252837720668,0.6314008805740493,0.6439269863532407,clip
0,art,21,population,ridge,,0.25805701237029915,0.46201014511087224,0.4633575856002242,clip
0,art,21,identity,ridge,25.82276930731114,0.4710668981169231,0.514819926557249,0.5640448862778608,clip
0,art,21,emotion,ridge,6.949484611148591,0.4456320962175538,0.4856488091868695,0.4939140126300076,clip
0,art,22,population,ridge,,0.2893085020024009,0.41978599884486145,0.42412404305248314,clip
0,art,22,identity,ridge,26.032452510861702,0.44052830353440553,0.4729530494988384,0.4962483499719302,clip
0,art,22,emotion,ridge,6.941065892261958,0.3052183595781099,0.369881029137603,0.33111044861523325,clip
0,art,30,population,ridge,,-0.18719280161253668,-0.21670274638038162,-0.20978902443484168,clip
0,art,30,identity,ridge,26.225263533047816,0.1681582252008137,0.24469310568008407,0.23855124644891165,clip
0,art,30,emotion,ridge,6.9590968158346636,0.18267439587985726,0.3039871706983583,0.2612432762238815,clip
0,art,50,population,ridge,,0.4947974122642473,0.4833905830178234,0.5183754203470747,clip
0,art,50,identity,ridge,26.410679642143343,0.5507925460671536,0.519210929811636,0.5887608726273768,clip
0,art,50,emotion,ridge,6.954302952593696,0.4270178106549914,0.48917654211814554,0.5003657633793444,clip
0,art,57,population,ridge,,0.46513086631937445,0.5106581584154437,0.5381884294109579,clip
0,art,57,identity,ridge,26.21145693996831,0.5626634989303475,0.5566146604194445,0.5941648812061738,clip
