fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,backbone
0,art,3,population,lasso,,0.06244597436658254,0.09650990358644981,0.08555433108989885,clip
0,art,3,identity,lasso,35.0,0.11805542319585827,0.18126225546693617,0.19203999855807813,clip
0,art,3,emotion,lasso,5.0,0.004572435084885641,0.007887357602750467,0.017086766615520714,clip
0,art,14,population,lasso,,0.31370112526113064,0.6348446126598832,0.6277535882340936,clip
0,art,14,identity,lasso,37.0,0.4574092611421935,0.5847762792304831,0.5139173623351251,clip
0,art,14,emotion,lasso,5.0,0.42670944238171626,0.5315786749617456,0.5249331201411305,clip
0,art,15,population,lasso,,0.170330874319862,0.24841961917707003,0.23491191478839452,clip
0,art,15,identity,lasso,14.0,0.09808162752461476,0.04710307871100067,0.17712137392133764,clip
0,art,15,emotion,lasso,4.0,0.11994626537521207,0.2469858163301737,0.20654328828196594,clip
0,art,19,population,lasso,,0.5100816440178864,0.5784765375270383,0.5871520125362644,clip
0,art,19,identity,lasso,32.0,0.2667260885699878,0.35879811454962374,0.3473639321851929,clip
0,art,19,emotion,lasso,7.0,0.5352613163912975,0.6527003098681812,0.6547100940016466,clip
0,art,21,population,lasso,,0.2594251237736896,0.4606521793022512,0.4698586977453104,clip
0,art,21,identity,lasso,32.0,0.3532389658088626,0.4189575994745881,0.4167708371757462,clip
0,art,21,emotion,lasso,7.0,0.4382760591433921,0.5210062152409674,0.5059778540278526,clip
0,art,22,population,lasso,,0.29209273306723527,0.40605604620344987,0.4261343742780548,clip
0,art,22,identity,lasso,40.0,0.3165300836300831,0.35483650656243915,0.35922564879148255,clip
0,art,22,emotion,lasso,6.0,0.2990330974958319,0.35663795424943284,0.3275504500275303,clip
0,art,30,population,lasso,,-0.2006022222447219,-0.24192374150908877,-0.2277854896623564,clip
0,art,30,identity,lasso,33.0,0.20609790666154426,0.28005195179189896,0.26997080049267347,clip
0,art,30,emotion,lasso,7.0,0.18502130319817048,0.326488254587695,0.2877996442656988,clip
0,art,50,population,lasso,,0.49205459199587953,0.48744075438804885,0.5156871375572091,clip
0,art,50,identity,lasso,25.0,0.3130177732931372,0.4551445826826143,0.4661355946418276,clip
