fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed
0,art,3,pca8,ridge,3.9223281420038663,0.07606408758290684,0.24543889186198656,0.2651914175381576,0
0,art,3,random8,ridge,7.997108097962384,0.15495339327765006,0.24739848381298046,0.2981369775274205,0
0,art,3,shuffled8,ridge,4.355616898672539,0.025239585878311033,0.0009797959754969522,0.06307521960226595,0
0,art,14,pca8,ridge,3.9059796691168858,0.31422647842533225,0.6203406906743825,0.566411851902436,0
0,art,14,random8,ridge,7.9970735604417085,0.30807990770917354,0.5294428234364835,0.4720041500457837,0
0,art,14,shuffled8,ridge,4.250108135246674,0.11441280649596945,0.2505900219755192,0.2468165468359423,0
0,art,15,pca8,ridge,3.9236636755207064,0.06192813810254453,0.24411821063638114,0.21016769745285174,0
0,art,15,random8,ridge,7.997056181975035,-0.06701979083758551,-0.0760446546946482,-0.1172831532502139,0
0,art,15,shuffled8,ridge,4.027860483120211,0.03146927153051304,0.16945425497948494,0.126238085190341,0
0,art,19,pca8,ridge,3.922662732229295,0.16573063938531943,0.37047040132907766,0.3640583564755045,0
0,art,19,random8,ridge,7.997187822814279,0.2676688875579779,0.39521165877612524,0.37914824112276385,0
0,art,19,shuffled8,ridge,4.480599377064206,0.13255159786789478,0.3976059740129363,0.421750196676856,0
0,art,21,pca8,ridge,3.930568981776702,0.2651688162192138,0.5475619910540025,0.5403328732520769,0
0,art,21,random8,ridge,7.996917761261112,0.16365661794271563,0.19081934362624095,0.22459740302575765,0
0,art,21,shuffled8,ridge,4.381819560187783,0.042020757720645265,0.1671806795502438,0.12082845624261246,0
0,art,22,pca8,ridge,3.904708348765315,0.31058649383846815,0.4792337725156543,0.49821267805776875,0
0,art,22,random8,ridge,7.996771110821128,0.12007566721394385,0.23365263378061824,0.160002401627666,0
0,art,22,shuffled8,ridge,4.276355083350903,0.1645800834718674,0.3036169669214285,0.3359606976017577,0
0,art,30,pca8,ridge,3.949440140566911,0.24868321969202756,0.3852877902897201,0.43575368896199845,0
0,art,30,random8,ridge,7.997044745247356,0.20520179033099567,0.15854609878948048,0.30248005201297357,0
0,art,30,shuffled8,ridge,4.214213703213553,0.10481786736830583,0.2677876247489198,0.3147006839518892,0
0,art,50,pca8,ridge,3.9488665443387263,0.2035867336531967,0.3946550102701555,0.4096100298692771,0
0,art,50,random8,ridge,7.99699835797842,0.17524879724928796,0.2760428487135514,0.2954215362147327,0
0,art,50,shuffled8,ridge,4.445181294444469,0.09599882146275213,0.28472178736403464,0.21437630543303912,0
0,art,57,pca8,ridge,3.9442852804149684,0.2567874821895431,0.43716054224971107,0.4430272444761927,0
0,art,57,random8,ridge,7.997089261235958,0.06791120123404026,-0.004043735015809827,0.10810759278593676,0
0,art,57,shuffled8,ridge,4.2534505623707,0.11034312460825073,0.19317031460659106,0.25685229315457797,0
0,art,62,pca8,ridge,3.9352908729485843,0.326280932483586,0.5463754372284758,0.5329734789648507,0
0,art,62,random8,ridge,7.997034335532936,0.3919032366779292,0.468026518468997,0.45447413189466546,0
0,art,62,shuffled8,ridge,4.2805359286623785,0.1363677983375053,0.372600291412069,0.3466897805806903,0
0,art,63,pca8,ridge,3.926279978873478,0.05885955143039452,0.27248872704373417,0.2776578746318184,0
0,art,63,random8,ridge,7.996828922325291,0.08624251921131783,0.10095697326363186,0.11746568085866489,0
0,art,63,shuffled8,ridge,4.275597106464245,-0.02399527641672073,-0.02502651791364201,-0.0699159144468226,0
0,art,79,pca8,ridge,3.9142908262308764,0.24919003312373358,0.4962094324985222,0.508413841728364,0
0,art,79,random8,ridge,7.997062221746107,0.306183697807986,0.4085772811332843,0.4520331653999274,0
0,art,79,shuffled8,ridge,4.142520480796745,0.20526050473929702,0.3933788975728399,0.42476833837991257,0
0,art,80,pca8,ridge,3.90631091977869,0.5690726584984159,0.7926229837228668,0.8434856404794996,0
0,art,80,random8,ridge,7.9967645209763525,0.5061241638362998,0.5627063131003913,0.5799194178945495,0
0,art,80,shuffled8,ridge,4.27536782760132,0.30448628122294463,0.4660234054540172,0.503509624354652,0
0,art,85,pca8,ridge,3.946335444538963,0.22303557397286203,0.45106421637578364,0.49162016420035665,0
0,art,85,random8,ridge,7.996990270529289,0.16365794820076046,0.3456668318823885,0.34828235175185135,0
0,art,85,shuffled8,ridge,4.3751774104533405,0.06400862510629486,0.058898538393367866,0.16293762252354368,0
0,art,86,pca8,ridge,3.9376239635036536,0.1899356227040897,0.42909817069584,0.4543184127170092,0
0,art,86,random8,ridge,7.996854247340098,0.02256060152223002,0.05971348896399844,0.03711222062723085,0
0,art,86,shuffled8,ridge,4.301389703748202,0.0525408426348197,0.1616212201298305,0.1617255672764378,0
0,art,98,pca8,ridge,3.9307038387764757,0.25434164405679716,0.32270182874040143,0.3788475832519016,0
0,art,98,random8,ridge,7.996962614754853,0.2807344952417785,0.353360227621802,0.3356547307991151,0
0,art,98,shuffled8,ridge,4.221452960813038,0.18127434597157724,0.24073250825845738,0.29048708492640407,0
0,art,99,pca8,ridge,3.963511242309465,0.4020233531348794,0.6340832735125119,0.6591665710918971,0
0,art,99,random8,ridge,7.99699194660905,0.05384336413956533,0.05625284844307737,0.08319656874959099,0
0,art,99,shuffled8,ridge,4.150390770874573,0.3687794941599506,0.529690034044314,0.530088797946565,0
0,art,105,pca8,ridge,3.940742673914485,0.058506901640606346,0.17068116487444446,0.18092607110841713,0
0,art,105,random8,ridge,7.996970430709396,0.01932345043716564,-0.03930387231897688,0.05126939596072741,0
0,art,105,shuffled8,ridge,4.420320754172517,-0.020345599137326087,-0.15955086474871652,-0.10509892352774391,0
0,art,109,pca8,ridge,3.9605572887387015,0.21317102798714543,0.38625171042523604,0.41503254554053254,0
0,art,109,random8,ridge,7.997073574793871,0.023180944742404723,0.009365211851725907,0.057887464901716854,0
0,art,109,shuffled8,ridge,4.481970487172933,0.1943944147140816,0.3783039360429606,0.32033956409846814,0
0,art,110,pca8,ridge,3.8833129056279887,0.2809245613728539,0.5485168610817039,0.5140655478980092,0
0,art,110,random8,ridge,7.996913873173733,0.30938396042134647,0.3525225470320863,0.3590517850881246,0
0,art,110,shuffled8,ridge,4.143910149658184,0.26186624524240737,0.3990801895409886,0.4533058211100198,0
0,art,116,pca8,ridge,3.9286088802530457,0.35828030233690644,0.6277154782235768,0.6343117134694096,0
