backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,identity,0,art,63,2,0.08524032001386467,0.20763293608824865,0.18971188381937398,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,63,2,0.019770949151777184,0.0892754989632262,0.07516469791215472,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,63,2,-0.08664180501702863,0.053142143633611305,0.03864976041407348,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,79,2,0.5375348031829412,0.5652472734743496,0.4511557383142752,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,79,2,0.3514943890316821,0.3844730324028128,0.3554511730380404,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,79,2,0.5785043588676173,0.5702713516911688,0.5228248297523025,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,79,2,0.5130343989149339,0.5267121660274741,0.4638358692360851,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,80,2,0.7297397917577453,0.7281770339671866,0.3128365309681755,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,80,2,0.8101123714881662,0.852411947478449,0.8477958301139094,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,80,2,0.7999921077812794,0.7997690582159921,0.7440410100440363,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,80,2,0.868770598993131,0.8790882086775269,0.8262277994511257,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,85,2,-0.0304910466229687,0.034532345928027605,0.01944197807902088,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,85,2,0.32879511941767914,0.367578729434686,0.3421759862993727,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,85,2,0.41991253040931725,0.48994621507916913,0.45250571709968823,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,85,2,0.43221058588058126,0.5065755963701576,0.4242849364547962,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,86,2,0.5765065934524213,0.582433185298602,0.33845562611609514,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,86,2,0.5655015454863289,0.5585325000024562,0.4866315621176599,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,86,2,0.6521601294704458,0.5961604578803686,0.4994794142849287,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,86,2,0.6148021863747872,0.6009199414876358,0.5026635664544219,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,98,2,0.42039466890589333,0.4464375918701368,0.2140839205712864,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,98,2,0.34157991036673013,0.3486999881148667,0.34540111974779547,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,98,2,0.3341864058133377,0.2780251567048324,0.2619723069737905,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,98,2,0.4044246990705657,0.3739976799095808,0.3671929339372201,,2026-08-22,table1
