setting,emotion,art_mean,art_sd,art_pct_pos,fashion_mean,fashion_sd,fashion_pct_pos,landscape_mean,landscape_sd,landscape_pct_pos,avg_mean,avg_sd,avg_pct_pos,rank
gt,impressed,0.31429483071624403,0.20706473599903424,97.67441860465115,0.2240783914672174,0.16083969256807382,91.47286821705426,0.258576666849173,0.17030414151466816,97.67441860465115,0.2656499630108781,0.183845523574683,95.60723514211887,2
gt,intellectual,0.17846726376500524,0.11920558953532433,82.17054263565892,0.13636199648055705,0.10694640119530954,76.74418604651163,0.13314330235249372,0.08682802222134242,82.17054263565892,0.14932418753268534,0.10692229516959352,80.36175710594316,4
gt,motivated,0.11892528529408776,0.09147938962432145,77.51937984496125,0.1422779329210447,0.11511683557357662,80.62015503875969,0.15448393070396202,0.11960577811258485,89.92248062015504,0.13856238297303147,0.11014289236357122,82.68733850129199,5
gt,amused,0.45082968098268333,0.2691573512112698,98.44961240310077,0.4191446067849475,0.25386473183932906,96.89922480620154,0.46296472718039433,0.2386417073213706,100.0,0.444313004982675,0.2542078766082222,98.44961240310077,1
gt,nostalgic,0.12923672140999287,0.09072608558772084,83.72093023255815,0.08480683823048046,0.06626376796117647,60.46511627906976,0.09063567035797816,0.06975903392498481,70.54263565891473,0.10155974333281717,0.07866987943882804,71.57622739018088,6
gt,sad,0.10057048122871941,0.08808457881577744,66.66666666666666,0.0981232093368685,0.09610334076628582,32.55813953488372,0.08747722972671058,0.06809601825327338,43.41085271317829,0.09539030676409949,0.0848860054059963,47.54521963824289,7
gt,distasteful,0.23483667470283542,0.17550422427924087,8.527131782945736,0.27024863388477066,0.21710147975964803,7.751937984496124,0.1948617176657954,0.15789309689783476,8.527131782945736,0.23331567541780052,0.18724713643198812,8.2687338501292,3
pred,impressed,0.3442714512348175,0.37176063656806946,91.47286821705426,0.12203092873096466,0.12183177471160889,83.72093023255815,0.20162706077098846,0.26962536573410034,90.69767441860465,0.2226431667804718,0.28867557644844055,88.63049095607235,1
pred,intellectual,0.1399255245923996,0.12839360535144806,60.46511627906976,0.11927863210439682,0.13279087841510773,70.54263565891473,0.16227884590625763,0.16885784268379211,61.240310077519375,0.14049433171749115,0.14518284797668457,64.08268733850129,5
pred,motivated,0.1935836672782898,0.20206797122955322,74.4186046511628,0.1172306016087532,0.11350546032190323,72.09302325581395,0.14617423713207245,0.131676584482193,81.3953488372093,0.1523294895887375,0.15670029819011688,75.96899224806202,4
pred,amused,0.22428825497627258,0.25951483845710754,80.62015503875969,0.14984434843063354,0.17378537356853485,78.29457364341084,0.1779373586177826,0.175942525267601,87.59689922480621,0.18402332067489624,0.20870478451251984,82.17054263565892,3
pred,nostalgic,0.19603735208511353,0.190172016620636,74.4186046511628,0.09223350882530212,0.08270099014043808,46.51162790697674,0.11828407645225525,0.10897766798734665,49.6124031007752,0.13551831245422363,0.14194469153881073,56.84754521963824,6
pred,sad,0.12604132294654846,0.1331270933151245,51.93798449612403,0.10588614642620087,0.11484251916408539,29.457364341085274,0.12341649830341339,0.12540395557880402,48.837209302325576,0.11844798922538757,0.12468212842941284,43.41085271317829,7
pred,distasteful,0.17910955846309662,0.16025491058826447,31.782945736434108,0.20899558067321777,0.20537970960140228,3.875968992248062,0.18616557121276855,0.15171891450881958,10.077519379844961,0.19142356514930725,0.17406849563121796,15.245478036175712,2
