fold,domain,user_id,own_srocc,own_plcc,other_srocc,other_plcc,pop_srocc,pop_plcc
0,art,3,0.13906422173648775,0.09837295612250474,0.09825394042283439,0.06082657025379706,0.11076593502993047,0.05576176191410417
0,art,14,0.5633184220464545,0.5317830183756806,0.5185748161404986,0.4946471114454784,0.6240163421364614,0.610630633171431
0,art,15,0.30832071589184873,0.24851702603295525,0.1764320955010469,0.18986750511267586,0.28877851412674366,0.22384240956486404
0,art,19,0.6448689037811116,0.6293410192816429,0.3664599233074191,0.37410916413843726,0.5906476399808279,0.6003017324749461
0,art,21,0.589709226151206,0.5604844810417748,0.34309257629962187,0.3557157124243099,0.4272562794161615,0.4343047839768853
0,art,22,0.38078709081021356,0.33958819550713193,0.33072632022191784,0.3361925274763493,0.3966106177905639,0.386215022324946
0,art,30,0.25478150373156694,0.28522575794964755,-0.08334797096063333,-0.08722073462141904,-0.15617235807148452,-0.13243750348539501
0,art,50,0.4543555882598431,0.5279108210359245,0.3223726012186764,0.3433781368202161,0.4389438972017123,0.4641274166316064
0,art,57,0.41377245323935147,0.4394702249011262,0.4157068886388065,0.4246038907302001,0.4934449620643613,0.5199750199069053
0,art,62,0.35419420120098544,0.3717838802919382,0.33283526229293653,0.3505665347675541,0.3983392892206164,0.4009767183919447
0,art,63,0.04034274687679091,0.1894254353994276,0.07862330867749771,0.09442919846652575,0.07352790963028022,0.1562582539370788
0,art,79,0.45330830967238483,0.4616413307953393,0.39763851142690426,0.4215601963378699,0.4480219153904912,0.4963658474684335
0,art,80,0.7209950978750957,0.6896269034785873,0.4985261553009894,0.488741697624571,0.6787454532735295,0.6572946966938968
0,art,85,0.17700052564633328,0.19062053918777247,0.1182239514394573,0.1437801248196999,0.16668438820556225,0.18401953480637925
0,art,86,0.659809378056743,0.6342294746442205,0.46923945327709315,0.4767654526998303,0.6500874298535135,0.6437012375391041
0,art,98,0.3579934904752613,0.4052417921814484,0.4780245723980695,0.478859940211353,0.5384935816387484,0.5354022406630458
0,art,99,0.7268664691310591,0.7277670216500162,0.6221623330911552,0.608599490631064,0.7530983673687637,0.7381019572480972
0,art,105,0.22629927731831095,0.25447206274472,0.22040975579332195,0.24505506845961628,0.20904094923632835,0.23488649563614405
0,art,109,0.5293116493061951,0.5322192904468825,0.3837610703003447,0.42479083456139516,0.5046583618911111,0.5435014291757017
0,art,110,0.43967680938870696,0.4730430087436932,0.34068272271194155,0.360228321986609,0.38623315794360935,0.41724364740571473
0,art,116,0.5700799212372001,0.6144185370426735,0.46291192477106824,0.44953794484685206,0.5754518764615401,0.5776371488271461
0,art,117,0.753839980832743,0.7668821213086887,0.527061011160265,0.5293593297060764,0.7911156290077733,0.7884836765057356
0,art,126,0.4658757715428068,0.4550883031845322,0.32079549798245655,0.358953151370424,0.49398981355833654,0.4723601260928951
0,art,127,0.6501881010033693,0.6843367526010886,0.5423402965969387,0.5609795020825603,0.5785938036928852,0.5766341373795665
0,art,136,0.46695773352060854,0.46920754097682943,0.3372472519871061,0.3677234777805398,0.3681863914348513,0.41562631473450284
0,art,144,0.5575014512483619,0.6082636673385471,0.6680886261679161,0.6491844279310444,0.661730225515508,0.6280652296241038
0,fashion,3,0.4989448454003697,0.5305830552781576,0.4437586717353318,0.4885608665750823,0.47565744943828686,0.5297146429288534
0,fashion,14,0.5944493368964515,0.6363828765100277,0.4215507639641899,0.4824613066180573,0.5147965632949608,0.5795500000008843
0,fashion,15,-0.06468944803908179,0.02610824089932494,0.051296456786769376,0.07962732556527263,0.023567763732831305,0.06380476226366605
0,fashion,19,0.4476438913774958,0.4500192720585476,0.30775452940852926,0.311179605109837,0.47632245073505197,0.48725910393761585
0,fashion,21,0.3532481424856052,0.440982877732942,0.2541749720888272,0.3279346046789368,0.32303613029933637,0.4273138497929101
0,fashion,22,0.36324675505083703,0.3497022078758123,0.2944769749117345,0.2743135172110572,0.37240956062571395,0.3476237086561871
0,fashion,30,0.5965241997410703,0.5937905664963639,0.37343804477633985,0.38124460065797494,0.38034621188149437,0.38402115176054485
0,fashion,50,0.18817435325310194,0.2678168946996904,0.0967571462515667,0.18492540416671358,0.08935356513996927,0.21207862373033318
