n_train,mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
10,emotion,ridge,0,art,3,0.015974607986049348,0.007054531023578057,0.04813504466824524,1.2616826931968244
10,emotion,ridge,0,art,14,0.3802026751920869,0.5174721207018749,0.49269245944437556,1.1898732045460645
10,emotion,ridge,0,art,15,-0.03792364778386152,-0.3331732985713846,-0.2683888663147337,1.1863421999360688
10,emotion,ridge,0,art,19,0.4780854025894426,0.6336954326759933,0.6307432369435845,1.16685491703567
10,emotion,ridge,0,art,21,0.21411610529465078,0.3105215149046947,0.3623786398313916,1.0724870996274096
10,emotion,ridge,0,art,22,0.1471559215641306,0.36992971691292714,0.3241721837595574,1.1241321689105135
10,emotion,ridge,0,art,30,-0.11265737631104338,-0.28583794479201413,-0.31232658854216816,1.3545370558538847
10,emotion,ridge,0,art,50,0.05031119165503249,0.27073028626689194,0.2532115384553138,1.211941251476864
10,emotion,ridge,0,art,57,0.1240000425740715,0.4878165200828962,0.4766182133428447,1.1201403266903962
10,emotion,ridge,0,art,62,0.10882611638779326,0.4133988175751393,0.3820865850765888,1.170592717511011
10,emotion,ridge,0,art,63,0.06616292626793863,0.3136323224937616,0.18567873867821347,1.081412070940239
10,emotion,ridge,0,art,79,0.24477910326900626,0.3594748111687716,0.36464073684182113,1.2429385322095934
10,emotion,ridge,0,art,80,0.3085618185808954,0.4764384341232405,0.4913288476231151,1.2006470219865755
10,emotion,ridge,0,art,85,0.09261367052269272,0.14828812340970443,0.17734944117738025,1.118703868212229
10,emotion,ridge,0,art,86,0.3035676474000561,0.6403161316594047,0.624980121319563,1.237726164006968
10,emotion,ridge,0,art,98,0.1799198385603452,0.321173837799367,0.3270307768093537,1.214600537942496
10,emotion,ridge,0,art,99,0.4503143290192949,0.678337457391306,0.6821257438980481,1.1473679708811793
10,emotion,ridge,0,art,105,-0.02772290363702278,-0.1434516806382886,-0.16978166260735283,1.1283160394153366
10,emotion,ridge,0,art,109,0.062371921304713085,0.5750240076959707,0.5629960409415394,1.0687986441620891
10,emotion,ridge,0,art,110,0.1704596375775091,0.35180311326263297,0.35920413829338027,1.1122022200087762
10,emotion,ridge,0,art,116,0.44128525559890386,0.5759037231626527,0.5824395575741883,1.2713972023019264
10,emotion,ridge,0,art,117,0.44944939496153297,0.7615792087061395,0.7744404771163721,1.184717758098233
10,emotion,ridge,0,art,126,0.29422450285880264,0.4481998677186822,0.4642334691212044,1.2599527800309394
10,emotion,ridge,0,art,127,0.604728316096709,0.7267385491215019,0.7112888271631408,1.1768161135873219
10,emotion,ridge,0,art,136,0.24711428871597566,0.43357323253575625,0.4545954959439683,1.1424853905258487
10,emotion,ridge,0,art,144,0.5078429815939285,0.6282678893325193,0.6345454709816313,1.275655135770995
10,emotion,ridge,0,fashion,3,0.25709614578096024,0.41263283738771384,0.48050680705655774,1.764934127098455
10,emotion,ridge,0,fashion,14,0.013860293918799154,-0.07046962399392052,0.03454199605080921,2.4747670734726914
10,emotion,ridge,0,fashion,15,-0.02255778272652596,-0.11951836044741575,-0.09121715918829135,1.7693296306287136
10,emotion,ridge,0,fashion,19,-0.019418596478360018,0.011058039103634319,-0.052981861617649485,1.897942434997553
10,emotion,ridge,0,fashion,21,0.3090675020828623,0.32152047751407203,0.40107023066046593,1.8090741764774563
10,emotion,ridge,0,fashion,22,0.1083290895498583,0.33619698327393993,0.3235859713634104,1.6238885241193608
