backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,population,0,art,3,0,0.06549936096197126,0.04020063388255356,0.029979774624883066,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,3,0,0.1322234668933137,0.15788750382526073,0.12047772668196428,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,3,0,-0.08661396423393057,-0.11299280707228583,-0.07729232246862752,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,3,0,0.12399318069913931,0.11268614947653523,0.07131690656813842,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,14,0,0.6201916777772711,0.6342020819992673,0.3042275906949266,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,14,0,0.6373778319107756,0.581671397709382,0.5342386511538876,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,14,0,0.6567991795009495,0.614187661961584,0.5135063487779242,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,14,0,0.5105181855033472,0.4636679085078369,0.35859057589828763,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,15,0,0.2844240017769104,0.26355858487882955,0.18993625630773994,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,15,0,0.3385367832949596,0.2284928932056453,0.21824829191998413,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,15,0,0.3328546757165188,0.27960504650812484,0.26317228382887997,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,15,0,0.23753333830248702,0.20548891532182065,0.18910498150557198,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,19,0,0.5437589665932779,0.5271171869917513,0.4730815055299697,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,19,0,0.61853143617619,0.6462733345342654,0.6053870063929941,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,19,0,0.5578754501769765,0.5678888034881752,0.48343805808025403,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,19,0,0.5801226292523459,0.5907787313822211,0.49490225012265926,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,21,0,0.37313882719111274,0.4180122223950349,0.27772145335460485,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,21,0,0.44345127905971704,0.45920198658815853,0.3963372054605077,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,21,0,0.5191955941628059,0.5372122520637957,0.3946668430125346,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,21,0,0.5127578303293427,0.532796027833184,0.4528223441967295,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,22,0,0.32552646581729805,0.33708596343358194,0.23572465304427795,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,22,0,0.33506926978083235,0.3333480402068694,0.32258447224617687,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,22,0,0.46959359300147174,0.49389826797882347,0.45969358346400874,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,22,0,0.37548012329988084,0.4240889463861206,0.38032523083060865,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,30,0,-0.22140077488474866,-0.20697571526809153,-0.1914407140614738,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,30,0,0.24929222832120124,0.2601750870208442,0.24375934760999912,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,30,0,0.1803548416360684,0.1586981135215453,0.12206463961137891,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,30,0,0.2713482358259138,0.2532952832970171,0.22928960592008882,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,50,0,0.4423102734055361,0.45637065185749587,0.4326506197352922,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,50,0,0.40212415747238955,0.4497873238889679,0.44526395128886004,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,50,0,0.46776849344695354,0.5266423201871654,0.4806058676596776,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,50,0,0.493226713488371,0.5635476669194361,0.5222404482098174,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,57,0,0.5647021304510642,0.5588346985074335,0.4869348515030038,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,57,0,0.3601656417459807,0.4039822210247759,0.3974001375129667,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,57,0,0.475248154493217,0.47000786077777823,0.4402521016266082,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,57,0,0.573827856770527,0.5241066771496941,0.4810998353583717,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,62,0,0.45286856182457524,0.46051007319992643,0.26974547837778906,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,62,0,0.34617229557422974,0.2960601926181985,0.27661872890237793,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,62,0,0.40645962313727085,0.41840015004794817,0.3742141215081044,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,62,0,0.44898064437357094,0.43261812210802364,0.35829343497212385,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,63,0,0.09885474575888592,0.12869557858078892,0.10006556846724983,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,63,0,0.07898369053545416,0.16140998061840733,0.1414252685955344,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,63,0,0.10355973112665062,0.18855435515913346,0.1334061757748343,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,63,0,-0.08368867590321888,0.06876925934321959,0.050307420026129944,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,79,0,0.5105436939167339,0.46572744699679824,0.42033944986879795,,2026-08-22,table1
