test,,srocc_mean,srocc_sd,srocc_sem,plcc_mean,plcc_sd,plcc_sem,srocc_sig_vs_own,plcc_sig_vs_own,pct_positive,spearman_mean,spearman_sd,spearman_sem,spearman_sig,pearson_mean,pearson_sd,pearson_sem,pearson_sig
ablation,full,0.44821454945923184,0.17299312621618365,0.00879373480844528,0.4576312031919561,0.16997666564716143,0.008640399500365091,,,,,,,,,,,
ablation,top1_held,0.2809954037568985,0.2954115197454172,0.015016611473652712,0.2859235003820937,0.3008952384350558,0.015295364560411402,,,,,,,,,,,
ablation,avg1_held,0.40685304873052924,0.16802289998535802,0.008541084010301774,0.4153138519310451,0.16622177782120787,0.008449527825292685,,,,,,,,,,,
ablation,bottom1_held,0.4465155360831222,0.17415377039657312,0.008852733667836697,0.4555882012464221,0.17067954699567706,0.008676128967285788,,,,,,,,,,,
formula_swap,own,0.44821454945923184,0.17299312621618365,0.00879373480844528,0.4576312031919561,0.16997666564716143,0.008640399500365091,False,False,,,,,,,,,
formula_swap,population_mean,0.42590628992465435,0.1740427461531147,0.008847089988370142,0.4333809361084605,0.16967902537491938,0.008625269595034986,True,True,,,,,,,,,
formula_swap,other_user,0.35399516321479557,0.15782686108185276,0.008022790225021717,0.36302486721356736,0.15483129665906445,0.00787051712775024,True,True,,,,,,,,,
weight_vs_empirical,art,,,,,,,,,83.72093023255815,0.3639167841160167,0.33525512844799943,0.029517568169235453,True,0.4492952483582857,0.3097575657602571,0.027272632951483737,True
weight_vs_empirical,fashion,,,,,,,,,87.5,0.44657452384328755,0.3237051532227383,0.02861176361860358,True,0.5273263001151121,0.3145897751688397,0.027806070414229736,True
weight_vs_empirical,landscape,,,,,,,,,91.47286821705426,0.44745293466223707,0.3234334774343327,0.028476729834310644,True,0.5306008025106661,0.30818811898020937,0.02713445086749145,True
weight_vs_empirical,ALL,,,,,,,,,87.56476683937824,0.41924412635838226,0.3290186488864715,0.016746608295929766,True,0.5023428937223553,0.3123172126441706,0.015896527573527414,True
