fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed,stage2_variant
0,art,3,population,ridge,,0.0696484170630101,0.1000371690982388,0.0959784853838684,0,C
0,art,3,identity,ridge,25.93579358411934,0.0821018404541455,0.0851442702706851,0.1416157437455338,0,C
0,art,3,random,ridge,5.093577315473403,0.0367402656117254,0.0767180248814113,0.0564000444988301,0,C
0,art,3,shuffled,ridge,6.988027615656422,-0.0171598275373275,-0.0239560116009004,-0.0282575104672052,0,C
0,art,3,pca,ridge,5.244457369497479,0.0697484819041045,0.1711703569193175,0.1218903531115525,0,C
0,art,3,emotion,ridge,4.749825000622692,0.0309997880721755,0.0467852578299794,0.1006235819590527,0,C
0,art,3,population,mlp,,0.1395680138493316,0.2077657366041287,0.1798001104314358,0,C
0,art,3,identity,mlp,,0.0024596410870495,-0.0066626126333792,0.0025956558983863,0,C
0,art,3,random,mlp,,0.1783593796010567,0.1870430517223681,0.2064703394707904,0,C
0,art,3,shuffled,mlp,,-0.0036318665289486,-0.0347827571301418,-0.0046978022064744,0,C
0,art,3,pca,mlp,,0.1050480922264777,0.1525052435861006,0.1509956820281084,0,C
0,art,3,emotion,mlp,,0.3036961530998029,0.2570494741716254,0.3156483056726585,0,C
0,art,3,gt_emotion,ridge,6.724840859253102,0.7842236900183687,0.8127491571512181,0.8343545768710184,0,C
0,art,14,population,ridge,,0.3209065708375359,0.6387189479847772,0.6318512530494379,0,C
0,art,14,identity,ridge,26.146016696019743,0.5198294929005938,0.6272946258729103,0.6176580088716922,0,C
0,art,14,random,ridge,5.031321456638358,0.4486751715317595,0.5723585378045406,0.5631787968718499,0,C
0,art,14,shuffled,ridge,6.987934244678241,0.4825832621267609,0.5577552738876324,0.5280392749226549,0,C
0,art,14,pca,ridge,5.238415743097986,0.4864034083162538,0.6263508775245386,0.5799504246829228,0,C
0,art,14,emotion,ridge,4.709696635675319,0.4947425979429242,0.6226255550967559,0.6110043511131859,0,C
0,art,14,population,mlp,,0.3288875804974066,0.6066315041401419,0.6155006552043506,0,C
0,art,14,identity,mlp,,0.1850642689789554,0.2200920490334044,0.2700496634156392,0,C
0,art,14,random,mlp,,0.0980050226419847,0.1046070537721394,0.1071018859402328,0,C
0,art,14,shuffled,mlp,,0.4557315021177221,0.5127037079943131,0.4815909475801289,0,C
0,art,14,pca,mlp,,0.478845593940129,0.5458839130844313,0.5086144692897827,0,C
0,art,14,emotion,mlp,,0.2977627132660593,0.3176458256756086,0.2986747261677954,0,C
0,art,14,gt_emotion,ridge,4.82953546828118,0.5782243342623432,0.7623983691861446,0.7092215305826629,0,C
0,art,15,population,ridge,,0.1676902202765954,0.2265408498096153,0.2301194066852365,0,C
0,art,15,identity,ridge,26.20570194211716,0.1658920391751281,0.1763577501682448,0.1741504815154943,0,C
0,art,15,random,ridge,5.058642383035089,0.1517995519364055,0.1748708435122042,0.1537733668947916,0,C
0,art,15,shuffled,ridge,6.986992015643322,0.1316923502628068,0.1861288510507974,0.1439918131770322,0,C
0,art,15,pca,ridge,5.2412453125490295,0.1746071120712737,0.1814557158460983,0.1911648724387357,0,C
0,art,15,emotion,ridge,4.690248366749343,0.1505283280473398,0.243587172544938,0.1996159380227299,0,C
0,art,15,population,mlp,,0.1788408029019431,0.2545796610378096,0.236714373342037,0,C
0,art,15,identity,mlp,,0.097274425709148,0.0896923336447352,0.1364121741172819,0,C
0,art,15,random,mlp,,0.1335248312494693,0.2451271830101229,0.1508217157761678,0,C
0,art,15,shuffled,mlp,,0.1651741428889289,0.1535231122361927,0.1920796168943073,0,C
0,art,15,pca,mlp,,0.0259558928291344,0.0575114253032849,0.0294860116369384,0,C
0,art,15,emotion,mlp,,0.1739411144933651,0.1845357367764682,0.1839045749525612,0,C
