mediator,head,eff_dof,art_srocc_mean,art_srocc_sd,art_srocc_sem,art_plcc_mean,art_plcc_sd,art_plcc_sem,fashion_srocc_mean,fashion_srocc_sd,fashion_srocc_sem,fashion_plcc_mean,fashion_plcc_sd,fashion_plcc_sem,landscape_srocc_mean,landscape_srocc_sd,landscape_srocc_sem,landscape_plcc_mean,landscape_plcc_sd,landscape_plcc_sem,avg_srocc_mean,avg_srocc_sd,avg_srocc_sem,avg_srocc_sig,avg_plcc_mean,avg_plcc_sd,avg_plcc_sem,avg_plcc_sig,avg_srocc_best,avg_plcc_best
population,ridge,,0.4650220253479835,0.18798933860356865,0.01655153835530666,0.47422536369404855,0.18455162356214455,0.01624886442291555,0.3260675019657938,0.14661541436080683,0.012908767445527925,0.3468323837548469,0.14313938173384447,0.012602719837845281,0.4566580371141045,0.16798350755319535,0.014790123147296812,0.4587208333384049,0.16368742860850288,0.01441187448724672,0.415915854809294,0.17961937734059805,0.009130566082824617,True,0.42659286026243337,0.17378926660074454,0.008834204898588474,True,False,False
population,mlp,,0.4183863158018741,0.1718563293610356,0.01513110609437187,0.4254591898146369,0.16793053786738996,0.014785459426509297,0.2612848264499926,0.1285238258127557,0.011315891892127736,0.2738627578217242,0.12831411571221943,0.011297427947319456,0.377339578892712,0.14653100193086732,0.012901335345483387,0.37943152264987035,0.14424836667201435,0.012700360517236595,0.3523369070481929,0.16379558205289918,0.008326197363287989,True,0.3595844900954105,0.1604643549218459,0.00815686157164172,True,False,False
identity,ridge,21.78883215976227,0.5243636680993702,0.1598924625232766,0.014077746354325472,0.5327193469476154,0.15963310771819567,0.01405491143700613,0.36517629713016275,0.1523013527331124,0.013409386404848735,0.38181500619142883,0.14737830621186057,0.012975936327696795,0.47826026692422025,0.17016936791397774,0.014982577420872023,0.48887088728865313,0.16303876109298487,0.014354762497052538,0.45593341071791776,0.1739435069012284,0.008842045373692296,True,0.4678017468092325,0.16880518670866881,0.008580849879266798,True,True,True
identity,mlp,,0.3099805829864305,0.16608724575981437,0.014623166605835519,0.31454718453352315,0.1688741726559567,0.014868541836992695,0.16836627629755005,0.13787776197893573,0.012139460049650259,0.17707023166743882,0.1404634342882295,0.012367115802468137,0.24957355010751833,0.17228096365326723,0.015168493059117098,0.2512418198166859,0.1707636851199019,0.015034904133132106,0.24264013646383298,0.16931858246686526,0.008606947252313393,True,0.247619745339216,0.16980556089411963,0.008631701756959763,True,False,False
random,ridge,1.966212274113247,0.4716203408522166,0.18013245526066257,0.015859778349291025,0.48004048663728505,0.17699778405848696,0.015583785939192189,0.3306806325883626,0.14564038478669414,0.012822920878305746,0.3495184469750346,0.14257460122002444,0.01255299368631849,0.4592633855622053,0.16381402244717452,0.01442302045324609,0.46174175349085655,0.16053809946352263,0.014134591517245164,0.4205214530009282,0.17539646554100133,0.008915903412131554,True,0.4304335623677254,0.17033419455516582,0.008658573716139508,True,False,False
random,mlp,,0.21379315851277475,0.12353576205730525,0.010876717366698102,0.2168522900535324,0.11935650833814561,0.010508754594218218,0.0726109446540256,0.08240996949546676,0.007255793233255072,0.07348311846046293,0.08616678809872451,0.007586562667668997,0.12546788682956062,0.10345011426031354,0.00910827468599824,0.12778270758320023,0.10233062901010431,0.009009709505681751,0.1372906633321203,0.11942492750060825,0.006070710235305907,True,0.13937270536573185,0.11899819042838937,0.00604901797083214,True,False,False
shuffled,ridge,2.506425605539343,0.4743109097280113,0.17073604259457875,0.015032470344484718,0.4819955865149632,0.17043247875054354,0.015005743038323869,0.3308277712173995,0.1470406283806752,0.012946205452445472,0.34842270277104154,0.14176185824146392,0.012481435657110152,0.4642798705410511,0.16728206623932698,0.014728364683243848,0.4668146281260523,0.16096489689534424,0.014172168935811642,0.42313951716215403,0.1743681149235208,0.008863629412476077,True,0.43241097247068566,0.16870927686497741,0.008575974507918877,True,False,False
shuffled,mlp,,0.2625708702468916,0.1419974114606277,0.012502174961640217,0.2683952321929287,0.14218506043927062,0.012518696532971942,0.11384659440979733,0.11126396314382159,0.009796245719135852,0.11648735761141907,0.11187313655546083,0.009849880447374577,0.20474519303910532,0.13448582461735706,0.01184081661723009,0.20959694697963524,0.1340201344446794,0.011799814883769992,0.1937208858985981,0.14333867225228736,0.007286314197282538,True,0.198159845594661,0.1439855746092289,0.007319198092141997,True,False,False
pca,ridge,3.6975021264901557,0.5118836792103472,0.16194981784135645,0.014258886389769198,0.5191648261113627,0.16157519979696683,0.01422590311009832,0.3484082569463781,0.14152590931511372,0.012460661512504991,0.36617154022811654,0.13571048585877288,0.011948642027224734,0.4757081313252176,0.15619090258965546,0.013751842174487936,0.4835040188478734,0.15340152528265721,0.013506251196684863,0.44533335582731426,0.1683954638600471,0.008560022496384328,False,0.4562801283957842,0.16386139556098653,0.00832954285191862,True,False,False
pca,mlp,,0.3893347391372669,0.17360330881495362,0.015284919058725307,0.39314752985541607,0.17524119396768936,0.015429126805443654,0.19416806791856947,0.1528972343854517,0.013461850858935228,0.2008213167613431,0.15587984626423299,0.013724455192124283,0.3124857188907391,0.19564495212439392,0.01722557754159559,0.3206355117476245,0.19538426932806077,0.01720262570116609,0.29866284198219184,0.19209261270210598,0.009764616269508633,True,0.3048681194547946,0.19288743141561648,0.009805019175336617,True,False,False
